Status	Class	ActionTypes	QuoteTypeCrit	SourceProductCodes	Targets	Seq	Name
Inactive	RENEWAL_maint_autoadd	AutoAdd|AutoRemove	QuoteTypeText__c=Renewal	FIM-TLC-RSS-TLCDIR_LIC	01tWC00000DD1odYAD;01tWC00000DD1obYAD	10	Renew Tripwire Log Center for Databases sku
Inactive	RENEWAL_maint_autoadd	AutoAdd|AutoRemove	QuoteTypeText__c=Renewal	FIM-TLC-RSS-TRAS_LIC	01tWC00000DD1okYAD;01tWC00000DD1oiYAD	10	Renew Tripwire Log Center for Desktops sku
Inactive	RENEWAL_maint_autoadd	AutoAdd|AutoRemove	QuoteTypeText__c=Renewal	FIM-TLC-RSS-TRILOC_LIC	01tWC00000DD1ooYAD;01tWC00000DD1omYAD	10	Renew Tripwire Log Center for Directory Services sku
Inactive	RENEWAL_maint_autoadd	AutoAdd|AutoRemove	QuoteTypeText__c=Renewal	FIM-TLC-RSS-TRLCEN_LIC	01tWC00000DD1ovYAD;01tWC00000DD1oqYAD	10	Renew Tripwire Log Center for File Systems sku
Inactive	RENEWAL_maint_autoadd	AutoAdd|AutoRemove	QuoteTypeText__c=Renewal	FIM-TLC-RSS-TLCIES_LIC	01tWC00000DD1p4YAD;01tWC00000DD1p2YAD	10	Renew Tripwire Log Center for Industrial Environments sku
Inactive	RENEWAL_maint_autoadd	AutoAdd|AutoRemove	QuoteTypeText__c=Renewal	FIM-TLC-RSS-TRLOCE_LIC	01tWC00000DD1pBYAT;01tWC00000DD1p6YAD	10	Renew Tripwire Log Center for Microsoft Exchange sku
Inactive	RENEWAL_maint_autoadd	AutoAdd|AutoRemove	QuoteTypeText__c=Renewal	FIM-FIM-RSS-TRCS_LIC	01tWC00000DD1pRYAT;01tWC00000DD1pPYAT	10	Renew Tripwire Log Center for Network Devices sku
Inactive	RENEWAL_maint_autoadd	AutoAdd|AutoRemove	QuoteTypeText__c=Renewal	FIM-TLC-RSS-TLOCEP_LIC	01tWC00000DD1pVYAT;01tWC00000DD1pTYAT	10	Renew Tripwire Log Center for POS End Point Systems sku
Inactive	RENEWAL_maint_autoadd	AutoAdd|AutoRemove	QuoteTypeText__c=Renewal	FIM-TLC-RSS-TLOCPS_LIC	01tWC00000DD1pZYAT;01tWC00000DD1pXYAT	10	Renew Tripwire Log Center for POS Servers sku
Inactive	RENEWAL_maint_autoadd	AutoAdd|AutoRemove	QuoteTypeText__c=Renewal	FIM-FIM-RSS-TLOCVE_LIC	01tWC00000DD1plYAD;01tWC00000DD1pjYAD	10	Renew Tripwire Log Center for VMware ESX sku
Inactive	RENEWAL_maint_autoadd	AutoAdd|AutoRemove	QuoteTypeText__c=Renewal	FIM-FIM-RSS-TSAES_LIC	01tWC00000DD1tfYAD;01tWC00000DD1tcYAD	10	Renew Tripwire State Analyzer Express sku
Inactive	RENEWAL_maint_autoadd	AutoAdd|AutoRemove	QuoteTypeText__c=Renewal	FIM-FIM-RSS-TSAS_LIC	01tWC00000DD1taYAD;01tWC00000DD1tYYAT	10	Renew Tripwire State Analyzer sku
Inactive	RENEWAL_maint_autoadd	AutoAdd|AutoRemove	QuoteTypeText__c=Renewal	FIM-FIM-RSS-TDS_LIC	01tWC00000DD1nqYAD;01tWC00000DD1noYAD	10	Renew Tripwire for Databases Sku
Inactive	RENEWAL_maint_autoadd	AutoAdd|AutoRemove	QuoteTypeText__c=Renewal	FIM-FIM-RSS-TDSS_LIC	01tWC00000DD1nuYAD;01tWC00000DD1nsYAD	10	Renew Tripwire for Directory Services Sku
Inactive	RENEWAL_maint_autoadd	AutoAdd|AutoRemove	QuoteTypeText__c=Renewal	FIM-FIM-RSS-VEMELS_LIC	01tWC00000DCyyMYAT;01tWC00000DCyyKYAT	10	Renew VnE Manager Ev Limited sku
Inactive	RENEWAL_maint_autoadd	AutoAdd|AutoRemove	QuoteTypeText__c=Renewal	FIM-FIM-RSS-VEMEES_LIC	01tWC00000DCyyDYAT;01tWC00000DCyyBYAT	10	Renew VnE Manager Ev sku
Inactive	RENEWAL_maint_autoadd	AutoAdd|AutoRemove	QuoteTypeText__c=Renewal	FIM-FIM-RSS-VEMEVS_LIC	01tWC00000DCyyDYAT;01tWC00000DCyyBYAT	10	Renew VnE Manager Ev sku_2
Inactive	STRADDLER_no_quotetype_autoadd	AutoAdd	<none>		01tWC00000DD1KmYAL	999	LJ Test AutoAdd Diagnostic v2
