"sf__Id","sf__Error",ParentProductId,ChildProductId,ChildProductClassificationId,ParentSellingModelId,ChildSellingModelId,ProductComponentGroupId,ProductRelationshipTypeId,Quantity,Sequence,DoesBundlePriceIncludeChild,QuantityScaleMethod,MaxQuantity,MinQuantity,IsComponentRequired,IsQuantityEditable,IsDefaultComponent,QuoteVisibility
"","INVALID_INPUT:Select a group related to the same bundle as this component.:ProductComponentGroupId --","01tct00000Kemm9AAB","01tct00000KezSSAAZ","","","","0y7aZ00000000Q3QAI","0yoa5000000gTtdAAE","1.0","1","true","Constant","","","false","false","false","Always"
"","INVALID_INPUT:Select a group related to the same bundle as this component.:ProductComponentGroupId --","01tct00000KemtQAAR","01tct00000Kemm9AAB","","","","0y7aZ00000000QOQAY","0yoa5000000gTtdAAE","1.0","1","true","Proportional","","","true","false","true","Always"
"","INVALID_INPUT:Select a group related to the same bundle as this component.:ProductComponentGroupId --","01tct00000KemtQAAR","01tct00000KenF5AAJ","","","","0y7aZ00000000QOQAY","0yoa5000000gTtdAAE","1.0","2","true","Proportional","","","true","false","true","Always"
"","INVALID_INPUT:Select a group related to the same bundle as this component.:ProductComponentGroupId --","01tct00000KemtQAAR","01tct00000KemgmAAB","","","","0y7aZ00000000QOQAY","0yoa5000000gTtdAAE","1.0","3","true","Proportional","","","true","false","true","Always"
