Product2.ProductCode,UnitPrice
OS-COS-NRST-CIC1S,600
OS-COS-NRST-CIICS,850
OS-COS-NRST-CIC2S,350
CS-DFT-RSS-CCIS,3373
DP-DLP-RSS-COMPLI,39.24
IGA-AAS-RSS-CAS,12.71
IGA-AAS-RSS-CCS,5.2
IGA-AAS-RSS-CCFRS,14438
IGA-AAS-RSS-CCLS,14438
IGA-AAS-RSP-CIROS,138000
IGA-AAS-RSS-CPS,4.33
IGA-VIS-RSS-CRDS,12.6
BP-ETM-RMS-COUNTE,20000
BP-ETM-RMS-CREDBA,5000
BP-ETM-RMS-CREDTI,20000
DM-IRC-RSS-CSVCSU,1210
BP-TSE-RMS-DARKCC,2000
BI-SDW-RSS-DATA,1375
DP-DC-RSP-DCS,250
DP-DLP-RSP-DLPS,360000
SM-VMC-RSS-DACS,2008
SM-VMC-RSS-DMISRS,602
DP-DLP-RRM-DPRM,0.2
DP-DLP-RSL-DPPS,12.1
ES-SEG-RSS-DRSEGS,9.1
ES-SXG-RSS-DRSS,9.1
ES-SIG-RSS-DRSIGS,9.1
ES-SIG-RSS-DAIS,2002
ES-SWG-RSS-DRSWGS,9.1
BI-SDW-RSS-DSVBS,1000
DM-IBM-RSS-DATASU,1155
DP-DC-RSP-DCDEXP,8000
DP-DC-RSP-DCDTAM,99000
DP-DC-RSL-DCSCS,5000
DP-DC-RSL-DCCSCB,10000
DP-DC-RSL-DCSES,25000
DP-DC-RSL-DCSEP,50000
DP-DC-RSS-DCSDAR,12
DP-DC-RSS-DCSPLS,42
DP-DC-RSL-DCSPMO,3000
DP-DC-RSS-DCSSDK,50000
DM-DLN-RSS-DELIBA,3300
DM-DLN-RSS-DELIIS,1237.5
DM-DLN-RSS-DELISH,577.5
DM-DLN-RSS-DELIWM,1237.5
BI-DB-RSS-DEPLSU,13618
FIM-FIM-RRM-DPEREN,1033.85
FIM-FIM-RSS-DPESUB,2340
FIM-FIM-RRM-DPEERM,144
FIM-FIM-RSS-DPEEXS,325
FIM-FIM-RRM-DPELRM,378.35
FIM-FIM-RSS-DPELIS,895
DP-DLP-RSL-DGDAOS,4.8
DP-DLP-NROR-DGDAPP,16900
DP-DLP-RSP-DGDEXP,70000
DP-DLP-RMS-DGDMSS,3.3
DP-DLP-RSS-DGDMCS,33200
DP-DLP-RSL-DGDSSE,3.3
DP-DLP-RSL-DGDSSU,1.6
ES-SEG-RSS-DRMS,19.5
SM-DSM-RSS-DSMSUB,1062
ES-DMP-RSL-DMARPR,2600
GS-GSE-RSS-DMZ,9027.6
GS-GSE-RSS-DG3S,4066.8
DM-DA-RSS-DAAS,1
ES-SEG-RSS-DSSEGS,9.1
ES-SXG-RSS-DSSS,9.1
ES-SIG-RSS-DSSIGS,9.1
ES-SWG-RSS-DSSWGS,9.1
DM-IRM-RSS-DRSSUB,4125
CDP-DPM-RSL-DSPMH,5000
DP-DLP-RSS-DVCSUB,92.4
SM-EV-RSS-EASYSU,955.65
ES-SEG-RSS-EEEPSE,65
DP-DLP-RSS-EDRS,61.44
GS-GSE-RSS-E8ES,16868.4
GS-GSE-RSS-EFES,958.8
GS-GSE-RRM-EAAM,1208
GS-GSE-RSS-EAWS,5176.8
GS-EFA-RSL-EAS,2999
GS-GSE-RSS-EAMS,5916
GS-GSE-RSS-EARS,1624.8
GS-GSE-RSS-EBPS,2750
GS-GSE-RSS-EBAS,5500
GS-GSE-RSS-EEAS,662.4
GS-GSE-RSS-EEDS,1735.2
GS-GSE-RSS-EEOS,662.4
GS-GSE-RSS-EFTES,736.8
GS-GSE-RSS-EEWS,1106.4
GS-GSE-RSS-EFTS,2956.8
GS-GSE-RSS-EFMS,2464
GS-GSE-RSS-EHSS,662.4
GS-GSE-RSS-EOPS,1624.8
GS-GSE-RSS-ERAS,2211
GS-GSE-RSS-ESSS,662.4
GS-GSE-RRM-EFSMB,330
GS-GSE-RSS-ETES,2464
GS-GSE-RSS-EWS,4066.8
DM-WCU-RSS-EMMO,866.25
DM-EU-RSS-ERSS,3176.25
ES-SEG-RRM-ESRM,0.2
ES-SEG-RSP-EMSES,12000
ES-SEG-RSP-ESRS,5000
ES-ESO-RMS-ETIS,4000
ES-SEG-RSS-ENCRFS,6.5
ES-SEG-RSS-ENCRPS,39
DP-DLP-RSS-EDS,15
BI-SDW-RSS-EDSS,1375
BI-ESN-RSS-ENUS,138
BI-SDW-RSS-EES,1375
BI-SDW-RSS-EMMS,1000
GS-GSE-RSS-EAYS,1525
DM-IRM-RSS-EFS,1443.75
BI-ESN-RSS-ESENSU,3281
BI-ESN-RSS-ESENFU,3314
ES-DMP-RSP-ESP,24000
FIM-FIM-RRM-FIMMIS,23
FIM-FIM-RRM-FIMSMR,23
GOA-FIL-RRM-FCRM,0.2
GOA-FIL-RSS-FCCS,2888
GOA-FIL-RSS-FCCCS,2888
GOA-FIL-RSS-FCDKS,2888
GOA-FIL-RSS-FCDS,1733
GOA-FIL-NRPS-FCDSTS,25000
GOA-FIL-RSS-FCHAS,1733
GOA-FIL-RSS-FCLBS,2888
GOA-FIL-RSS-FCRPS,2888
GOA-FIL-RSS-FCTS,1733
GOA-FIL-RSS-FCWS,6050
GOA-FIL-RSS-FCWAS,5500
NW-AA-RSS-FLOWSU,7500
GS-GSE-RSS-FOLDYE,1525
DP-DC-RSS-FCSSS,50000
DP-DC-RSS-FCSES,35
DP-DC-RSS-FCSPS,40
DP-DC-RSS-FDUAPS,65
DP-DC-RSS-FDCSGS,63.7
DP-DC-RSS-FDCSUGS,54.88
DP-DC-RSS-FDUPPS,56
DP-DC-RSS-FDAPS,49
DP-DC-RSS-FDEPS,35
DP-DC-RSS-FDEUPS,47
DP-DC-RSS-FDDS,14
DP-DC-RSS-FDCSDGS,13.72
DP-DC-RSS-FMIOS,6
VM-VLM-RSL-FMVS,6175
VM-VLM-RSL-FMVAS,3000
VM-DDL-RSL-FPAES,1469
VM-DDL-RSL-FPAIS,1491
VM-DDL-RSL-FPAIES,2368
VM-DDL-RSL-FPTES,2054
VM-VLM-RSL-FPTIS,1556
VM-DDL-RSP-FSA,2000
CS-CLP-RSP-FSRS,275
VM-VLM-RSL-FVBS,383
VM-VLM-RSL-FVMS,2479
VM-VLM-RSL-FVSS,300
VM-DDL-RSL-FWAPTS,3150
VM-DDL-RSL-FWASS,368
VM-DDL-RSL-FCTMS,48000
VM-DDL-NRST-FPTEOS,2054
GS-GSE-RSS-FTPSYE,1512.5
GOA-GAM-RSS-GAAFTS,4620
GOA-GAM-RSS-GAAS,9995
GOA-GAM-RSS-GAAAS,4130
GOA-GAM-RSS-GAARS,1760
GOA-GAM-RSS-GAAWS,5497.25
GOA-GAM-RSS-GAAWRS,12650
GOA-GAM-RSS-GOAS,204.6
GOA-GAM-RSS-GAASRS,4290
GOA-GAM-RSS-GORS,2640
GOA-GAM-RSS-GOANA,2640
GOA-GAM-RSS-GABAS,547.25
GOA-GAM-RSS-GABAMS,6875
GOA-GAM-RSS-GACCPS,2475
GOA-GAM-RSS-GACCSS,1650
GOA-GAM-RSS-GACS,3850
GOA-GAM-RSS-GACBS,7607
GOA-GAM-RSS-GACBGS,10764
GOA-GAM-RSS-GACSBS,6683
GOA-GAM-RSS-GACSBGS,10148
GOA-GAM-RSS-GAEBS,121141
GOA-GAM-RSP-GAES,12000
GOA-GAM-RSS-GAFSS,1925
GOA-GAM-RSS-GAGS,2197.25
GOA-GAM-RSS-GAGLBS,3850
GOA-GAM-RSS-GOBS,550
GOA-GAM-RSS-GAGFSS,4331
GOA-GMA-RSSH-GAMSAB,0.2
GOA-GMA-RSSH-GAMSAD,0.6
GOA-GMA-RSSH-GAMSAS,2600
GOA-GMA-RSSH-GAMSAI,4000
GOA-GMA-RSL-GAMSHC,4050
