Id,Product2Id,Product2.ProductCode,UnitPrice,Pricebook2Id
01uWC000005mZ7bYAE,01tWC00000DD1BRYA1,FIM-FIM-RNM-DPEENM,0,01sWC000001yExBYAU
01uWC000005mZ7cYAE,01tWC00000DD1BTYA1,FIM-FIM-RRM-DPEERM,0,01sWC000001yExBYAU
01uWC000005pESkYAM,01tWC00000DD1OHYA1,GOA-GAM-RRM-GAPBRM,0,01sa5000001vuxlAAA
01uWC000005pESqYAM,01tWC00000DD1OMYA1,GOA-GAM-RNM-GASFNM,0,01sa5000001vuxlAAA
01uWC000005pESwYAM,01tWC00000DD1OOYA1,GOA-GAM-RRM-GASFRM,0,01sa5000001vuxlAAA
01uWC000005pET2YAM,01tWC00000DD1OQYA1,GOA-GAM-RNM-GASM,0,01sa5000001vuxlAAA
01uWC000005pET8YAM,01tWC00000DD1OSYA1,GOA-GAM-RRM-GOANS,0,01sa5000001vuxlAAA
01uWC000005pETEYA2,01tWC00000DD1OUYA1,GOA-GAM-RNM-GASMNM,0,01sa5000001vuxlAAA
01uWC000005pETKYA2,01tWC00000DD1OWYA1,GOA-GAM-RRM-GASMRM,0,01sa5000001vuxlAAA
01uWC000005pETQYA2,01tWC00000DD1OYYA1,GOA-GAM-RNM-GASDNM,0,01sa5000001vuxlAAA
01uWC000005pETWYA2,01tWC00000DD1OaYAL,GOA-GAM-RRM-GASDRM,0,01sa5000001vuxlAAA
01uWC000005pETcYAM,01tWC00000DD1OdYAL,GOA-GAM-RNM-GASLNM,0,01sa5000001vuxlAAA
01uWC000005pETiYAM,01tWC00000DD1OfYAL,GOA-GAM-RRM-GASLRM,0,01sa5000001vuxlAAA
01uWC000005pEToYAM,01tWC00000DD1OgYAL,GOA-GAM-RNM-GASSNM,0,01sa5000001vuxlAAA
01uWC000005pETuYAM,01tWC00000DD1OiYAL,GOA-GAM-RRM-GASSRM,0,01sa5000001vuxlAAA
01uWC000005pEU0YAM,01tWC00000DD1OkYAL,GOA-GAM-RNM-GASANM,0,01sa5000001vuxlAAA
01uWC000005pEU6YAM,01tWC00000DD1OmYAL,GOA-GAM-RRM-GASARM,0,01sa5000001vuxlAAA
01uWC000005pEUCYA2,01tWC00000DD1OoYAL,GOA-GAM-RNM-GASBNM,0,01sa5000001vuxlAAA
01uWC000005pHQLYA2,01tWC00000DCwVQYA1,DM-IFO-RRM-IFORRE,0,01sa5000001vuxlAAA
01uWC000005pHQRYA2,01tWC00000DCwVSYA1,DM-IFO-RNM-IFOREF,0,01sa5000001vuxlAAA
01uWC000005pHTlYAM,01tWC00000DCwVUYA1,DM-IFO-RRM-IFORFA,0,01sa5000001vuxlAAA
01uWC000005pHTrYAM,01tWC00000DCwVVYA1,DM-IBM-RNM-IFSTNE,0,01sa5000001vuxlAAA
01uWC000005pHTxYAM,01tWC00000DCwVXYA1,DM-IBM-RRM-IFSTRE,0,01sa5000001vuxlAAA
01uWC000005pHU3YAM,01tWC00000DCwVZYA1,DM-WCU-RNM-IVLNEW,0,01sa5000001vuxlAAA
01uWC000005pHU9YAM,01tWC00000DCwVbYAL,DM-WCU-RRM-IVLREN,0,01sa5000001vuxlAAA
01uWC000005pHUFYA2,01tWC00000DCwVcYAL,DM-WCU-RNM-IBONEW,0,01sa5000001vuxlAAA
01uWC000005pHULYA2,01tWC00000DCwVeYAL,DM-WCU-RRM-IBOREN,0,01sa5000001vuxlAAA
01uWC000005pHURYA2,01tWC00000DCwVhYAL,DM-DML-RNM-IPI4NE,0,01sa5000001vuxlAAA
01uWC000005pHUXYA2,01tWC00000DCwVjYAL,DM-DML-RRM-IPI4RE,0,01sa5000001vuxlAAA
01uWC000005pHUdYAM,01tWC00000DCwVlYAL,ES-SEG-RNM-IGSRNM,0,01sa5000001vuxlAAA
01uWC000005pHUjYAM,01tWC00000DCwVnYAL,ES-SEG-RRM-IGSRRM,0,01sa5000001vuxlAAA
01uWC000005pHUpYAM,01tWC00000DCwVpYAL,BI-ISA-RNM-INSINE,0,01sa5000001vuxlAAA
01uWC000005pHV0YAM,01tWC00000DCwW1YAL,CM-TQO-RNM-IACINE,0,01sa5000001vuxlAAA
01uWC000005pHV6YAM,01tWC00000DCwW3YAL,CM-TQO-RRM-IACIRE,0,01sa5000001vuxlAAA
01uWC000005pHVCYA2,01tWC00000DCwW4YAL,DM-WFM-RNM-INTENE,0,01sa5000001vuxlAAA
01uWC000005pHVIYA2,01tWC00000DCwW6YAL,DM-WFM-RRM-INTERE,0,01sa5000001vuxlAAA
01uWC000005pHVOYA2,01tWC00000DCwW8YAL,NW-INT-RNM-ISFNM,0,01sa5000001vuxlAAA
01uWC000005pHVUYA2,01tWC00000DCwWAYA1,NW-INT-RRM-ISFRM,0,01sa5000001vuxlAAA
01uWC000005pHVaYAM,01tWC00000DCwWBYA1,NW-INT-RNM-ISNM,0,01sa5000001vuxlAAA
01uWC000005pHVgYAM,01tWC00000DCwWDYA1,NW-INT-RRM-ISRM,0,01sa5000001vuxlAAA
01uWC000005pHVmYAM,01tWC00000DCwWFYA1,NW-INT-RNM-ISLNM,0,01sa5000001vuxlAAA
01uWC000005pHVsYAM,01tWC00000DCwWHYA1,NW-INT-RRM-ISLRM,0,01sa5000001vuxlAAA
01uWC000005pHVyYAM,01tWC00000DCwWJYA1,NW-INT-RNM-ISBNM,0,01sa5000001vuxlAAA
01uWC000005pHW4YAM,01tWC00000DCwWLYA1,NW-INT-RRM-ISBRM,0,01sa5000001vuxlAAA
01uWC000005pHWAYA2,01tWC00000DCwWOYA1,DP-DLP-RNM-INVENE,0,01sa5000001vuxlAAA
01uWC000005pHWGYA2,01tWC00000DCwWQYA1,DP-DLP-RRM-INVERE,0,01sa5000001vuxlAAA
01uWC000005pHWNYA2,01tWC00000DCwWYYA1,FIM-FIM-RNM-IP36TB,0,01sa5000001vuxlAAA
01uWC000005pHaIYAU,01tWC00000DD09mYAD,CS-DFT-RNM-NTCNM,0,01sa5000001vuxlAAA
01uWC000005pHaOYAU,01tWC00000DD09oYAD,CS-DFT-RRM-NTCRM,0,01sa5000001vuxlAAA
01uWC000005pHaUYAU,01tWC00000DD09qYAD,SM-RON-RNM-NAHNM,0,01sa5000001vuxlAAA
01uWC000005pHaaYAE,01tWC00000DD09sYAD,SM-RON-RRM-NAHRM,0,01sa5000001vuxlAAA
01uWC000005pHagYAE,01tWC00000DD09uYAD,SM-RON-RNM-NHNM,0,01sa5000001vuxlAAA
01uWC000005pHamYAE,01tWC00000DD09wYAD,SM-RON-RRM-NHRM,0,01sa5000001vuxlAAA
01uWC000005pHasYAE,01tWC00000DD09yYAD,SM-RON-RNM-NNNM,0,01sa5000001vuxlAAA
01uWC000005pHayYAE,01tWC00000DD0A0YAL,SM-RON-RRM-NNRM,0,01sa5000001vuxlAAA
01uWC000005pHb4YAE,01tWC00000DD0A2YAL,IGA-AAS-RNM-NSCCNE,0,01sa5000001vuxlAAA
01uWC000005pHbAYAU,01tWC00000DD0A4YAL,IGA-AAS-RRM-NSCCRE,0,01sa5000001vuxlAAA
01uWC000005pHbGYAU,01tWC00000DD0A6YAL,DP-DC-RNM-NOTENE,0,01sa5000001vuxlAAA
01uWC000005pHbMYAU,01tWC00000DD0A8YAL,DP-DC-RRM-NOTERE,0,01sa5000001vuxlAAA
01uWC000005pHbSYAU,01tWC00000DD0A9YAL,SM-SYM-RNM-N5UNEW,0,01sa5000001vuxlAAA
01uWC000005pHbYYAU,01tWC00000DD0ABYA1,SM-SYM-RRM-N5UREN,0,01sa5000001vuxlAAA
01uWC000005pHbeYAE,01tWC00000DD0ADYA1,SM-NSS-RNM-NSSAIX,0,01sa5000001vuxlAAA
01uWC000005pHbkYAE,01tWC00000DD0AFYA1,SM-NSS-RRM-NSSARM,0,01sa5000001vuxlAAA
01uWC000005pHbqYAE,01tWC00000DD0AHYA1,SM-NSS-RNM-NSSLNM,0,01sa5000001vuxlAAA
01uWC000005pHbwYAE,01tWC00000DD0AJYA1,SM-NSS-RRM-NSSLRM,0,01sa5000001vuxlAAA
01uWC000005pHc2YAE,01tWC00000DD0ALYA1,SM-NSS-RNM-NSSSNM,0,01sa5000001vuxlAAA
01uWC000005pHc8YAE,01tWC00000DD0ANYA1,SM-NSS-RRM-NSSSNT,0,01sa5000001vuxlAAA
01uWC000005pHcEYAU,01tWC00000DD0APYA1,SM-NSS-RNM-NSSVIO,0,01sa5000001vuxlAAA
01uWC000005pHcKYAU,01tWC00000DD0ARYA1,SM-NSS-RRM-NSSVRM,0,01sa5000001vuxlAAA
01uWC000005pHcQYAU,01tWC00000DD0ATYA1,SM-NSS-RNM-NSSWAM,0,01sa5000001vuxlAAA
01uWC000005pHcWYAU,01tWC00000DD0AVYA1,SM-NSS-RRM-NSSWEA,0,01sa5000001vuxlAAA
01uWC000005pHccYAE,01tWC00000DD0AXYA1,SM-NSS-RNM-NSSWNM,0,01sa5000001vuxlAAA
01uWC000005pHciYAE,01tWC00000DD0AZYA1,SM-NSS-RRM-NSSWRM,0,01sa5000001vuxlAAA
01uWC000005pHcoYAE,01tWC00000DD0AbYAL,ES-SEG-RNM-OCRF,0,01sa5000001vuxlAAA
01uWC000005pHcuYAE,01tWC00000DD0AdYAL,ES-SEG-RRM-OFIM,0,01sa5000001vuxlAAA
01uWC000005pHd0YAE,01tWC00000DD0AfYAL,ES-SEG-RNM-OFSM,0,01sa5000001vuxlAAA
01uWC000005pHd6YAE,01tWC00000DD0AhYAL,ES-SEG-RRM-OCFE,0,01sa5000001vuxlAAA
01uWC000005pHdCYAU,01tWC00000DD0AjYAL,ES-SXG-RNM-OCNM,0,01sa5000001vuxlAAA
01uWC000005pHdIYAU,01tWC00000DD0AlYAL,ES-SXG-RRM-OCRM,0,01sa5000001vuxlAAA
01uWC000005pHdOYAU,01tWC00000DD10VYAT,DP-DLP-RNM-DGSNM,0,01sa5000001vuxlAAA
01uWC000005pHq4YAE,01tWC00000DD13JYAT,CS-DFT-RRM-ASOCRM,0,01sa5000001vuxlAAA
01uWC000005pHqKYAU,01tWC00000DD13QYAT,IGA-AAS-RNM-ACISNE,0,01sa5000001vuxlAAA
01uWC000005pHwsYAE,01tWC00000DD13SYAT,IGA-AAS-RRM-ACISRE,0,01sa5000001vuxlAAA
01uWC000005pHwyYAE,01tWC00000DD13VYAT,DP-DLP-RNM-ATPNEW,0,01sa5000001vuxlAAA
01uWC000005pHx4YAE,01tWC00000DD13XYAT,DP-DLP-RRM-ATPREN,0,01sa5000001vuxlAAA
01uWC000005pHxFYAU,01tWC00000DD13aYAD,NW-AA-RRM-FLOWRE,0,01sa5000001vuxlAAA
01uWC000005pHxVYAU,01tWC00000DD13gYAD,SM-AJM-RNM-AJMNM,0,01sa5000001vuxlAAA
01uWC000005pHxbYAE,01tWC00000DD13iYAD,SM-AJM-RRM-AJMRM,0,01sa5000001vuxlAAA
01uWC000005pHxhYAE,01tWC00000DD13kYAD,SM-AUS-RNM-AUTHNE,0,01sa5000001vuxlAAA
01uWC000005pHxnYAE,01tWC00000DD13mYAD,SM-AUS-RRM-AUTHRE,0,01sa5000001vuxlAAA
01uWC000005pHxtYAE,01tWC00000DD13pYAD,RPA-AUD-RNM-ADNM,0,01sa5000001vuxlAAA
01uWC000005pHxzYAE,01tWC00000DD13rYAD,RPA-AUD-RRM-ADRM,0,01sa5000001vuxlAAA
