AttributeValue,QuoteLineItemId,QuoteLineItem.Product2.ProductCode,QuoteLineItem.Fortra_Product_Type__c,QuoteLineItem.NetUnitPrice,QuoteLineItem.UnitPrice,QuoteLineItem.TotalPrice,QuoteLineItem.Source_List_Price__c,QuoteLineItem.Quote.Status,QuoteLineItem.Quote.QuoteTypeText__c
Basic,0QLWC000002QwvF4AS,ES-CEP-RSL-ACTIDB,Subscription,94000,94000,188000,,Accepted,
Basic,0QLWC000002Qxo54AC,SM-ROM-RNM-MONINE,New Maintenance,0,0,0,,Draft,New
Basic,0QLWC000002QxrJ4AS,SM-ROB-NRPS-RBCAP,Perpetual,0,0,0,,Draft,New
Basic,0QLWC000002QxrK4AS,SM-ROA-NRPS-ROBOT,Perpetual,0,0,0,,Draft,New
Basic,0QLWC000002QxrL4AS,SM-ROC-NRPS-ROCP,Perpetual,0,0,0,,Draft,New
Basic,0QLWC000002Qxsv4AC,SM-ROB-RRM-RBCARM,Renewal Maintenance,151110,151110,151110,,Draft,New
Basic,0QLWC000002Qxxl4AC,BI-ISA-NRPS-IACP,Perpetual,2500,2500,2500,,Draft,New
Basic,0QLWC000002Qxxm4AC,BI-ISA-NRPS-INSIPE,Perpetual,0,0,0,,Draft,New
Basic,0QLWC000002QyDt4AK,SM-MP-RSS-MPS,Subscription,0,0,0,,Draft,New
Basic,0QLWC000002QyYs4AK,,Subscription,16.8,42,16.8,,Draft,New
Basic,0QLWC000002QyYt4AK,,Subscription,14,35,14,,Draft,New
Basic,0QLWC000002R0ag4AC,,Subscription,16.8,42,16.8,,Draft,New
Basic,0QLWC000002R0ah4AC,,Subscription,14,35,14,,Draft,New
Basic,0QLWC000002RJgY4AW,,Subscription,31.5,35,31.5,,Draft,New
Basic,0QLWC000002RJgb4AG,,Subscription,16.38,42,16.38,,Draft,New
Basic,0QLWC000002RQV84AO,GOA-GAM-RSS-GAASRS,Subscription,0,0,0,,Draft,
Basic,0QLWC000002RREH4A4,GOA-GAM-NRPS-GAAAP,Professional Service,0,0,0,,Draft,
Basic,0QLWC000002RU2T4AW,BI-ISA-RSS-INSISU,Subscription,0,0,0,,Draft,New
Basic,0QLWC000002RU2U4AW,BI-ISA-RSS-IACS,Subscription,1375,1375,1375,,Draft,New
Basic,0QLWC000002RY7i4AG,GOA-GAM-RSS-GAAAS,Subscription,0,0,0,,Draft,New
Basic,0QLWC000002RY7m4AG,GOA-GAM-RSS-GAAFTS,Subscription,0,0,0,,Draft,New
Basic,0QLWC000002RY7n4AG,GOA-GAM-NRPS-GAAAP,Perpetual,0,0,0,,Draft,New
Basic,0QLWC000002RY7r4AG,,Subscription,16.8,42,16.8,,Draft,New
Basic,0QLWC000002RY7s4AG,GOA-GAM-NRPS-GAARP,Perpetual,0,0,0,,Draft,New
Basic,0QLWC000002RY7u4AG,GOA-GAM-RSS-GAAFTS,Subscription,0,0,0,,Draft,New
Basic,0QLWC000002RY804AG,,Subscription,17.5,35,17.5,,Draft,New
Basic,0QLWC000002RY9J4AW,HRM-HRM-RSL-CLSAAS,Subscription,2179.52,2180,106796.48,,Accepted,New
Basic,0QLWC000002Rafl4AC,GOA-GAM-RSS-GAAAS,Subscription,0,0,0,,Draft,New
Basic,0QLWC000002Rafp4AC,GOA-GAM-RSS-GAAFTS,Subscription,0,0,0,,Draft,New
Basic,0QLWC000002Rafq4AC,GOA-GAM-NRPS-GAAAP,Perpetual,0,0,0,,Draft,New
Basic,0QLWC000002Rafu4AC,,Subscription,16.8,42,16.8,,Draft,New
Basic,0QLWC000002Rafv4AC,GOA-GAM-NRPS-GAARP,Perpetual,0,0,0,,Draft,New
Basic,0QLWC000002Rafx4AC,GOA-GAM-RSS-GAAFTS,Subscription,0,0,0,,Draft,New
Basic,0QLWC000002Rag34AC,,Subscription,17.5,35,17.5,,Draft,New
Basic,0QLWC000002RtVV4A0,,Subscription,42,42,42,,Draft,New
Basic,0QLWC000002RtVW4A0,,Subscription,35,35,35,,Draft,New
Basic,0QLWC000002RriE4AS,GOA-GAM-RSS-GAAAS,Subscription,0,0,0,,Draft,New
Basic,0QLWC000002RriI4AS,GOA-GAM-RSS-GAAFTS,Subscription,0,0,0,,Draft,New
Basic,0QLWC000002RriJ4AS,GOA-GAM-NRPS-GAAAP,Perpetual,0,0,0,,Draft,New
Basic,0QLWC000002RriL4AS,SM-AJS-RSS-AJSS,Subscription,0,0,0,,Draft,New
Basic,0QLWC000002RriO4AS,,Subscription,16.8,42,16.8,,Draft,New
Basic,0QLWC000002RriP4AS,GOA-GAM-NRPS-GAARP,Perpetual,0,0,0,,Draft,New
Basic,0QLWC000002RriT4AS,GOA-GAM-RSS-GAAFTS,Subscription,0,0,0,,Draft,New
Basic,0QLWC000002RraA4AS,GOA-GAM-RSS-GAAAS,Subscription,0,0,0,,Draft,New
Basic,0QLWC000002RraE4AS,GOA-GAM-RSS-GAAFTS,Subscription,0,0,0,,Draft,New
Basic,0QLWC000002RraF4AS,GOA-GAM-NRPS-GAAAP,Perpetual,0,0,0,,Draft,New
Basic,0QLWC000002RraH4AS,SM-AJS-RSS-AJSS,Subscription,0,0,0,,Draft,New
Basic,0QLWC000002RraK4AS,,Subscription,16.8,42,16.8,,Draft,New
Basic,0QLWC000002RraL4AS,GOA-GAM-NRPS-GAARP,Perpetual,0,0,0,,Draft,New
