AttributeValue,QuoteLineItemId,QuoteLineItem.Product2Id,QuoteLineItem.Product2.Name,QuoteLineItem.Product2.ProductCode,QuoteLineItem.Fortra_Product_Type__c,QuoteLineItem.NetUnitPrice,QuoteLineItem.Source_List_Price__c,QuoteLineItem.Quote.Status
Basic,0QLWC000002QdKj4AK,01tWC00000DD1JjYAL,Flow Exporters-NewMaintenance,NW-INT-RNM-FLOWNE,New Maintenance,0.0,,Draft
Basic,0QLWC000002QdUP4A0,01tWC00000DD13sYAD,Automate Desktop,RPA-AUD-RSS-ADS,Subscription,0.0,,Draft
Basic,0QLWC000002QdUQ4A0,01tWC00000DD20KYAT,Automate FTP Essentials,RPA-AUD-RSS-AFTPES,Subscription,1000.0,,Draft
Basic,0QLWC000002Qdsb4AC,01tWC00000DCwVrYAL,Insite Analytics - Core,BI-ISA-NRPS-IACP,Perpetual,2500.0,,Draft
Basic,0QLWC000002Qdsc4AC,01tWC00000DCwVqYAL,Insite Analytics,BI-ISA-NRPS-INSIPE,Perpetual,0.0,,Draft
Basic,0QLWC000002QwvF4AS,01tWC00000DD11JYAT,Active Defense BEC Threat Intelligence Service,ES-CEP-RSL-ACTIDB,Subscription,94000.0,,Accepted
Basic,0QLWC000002Qxo54AC,01tWC00000DD1RWYA1,Monitor-NewMaintenance,SM-ROM-RNM-MONINE,New Maintenance,0.0,,Draft
Basic,0QLWC000002QxrJ4AS,01tWC00000DD1YVYA1,Robot Bundle - Console & Alert,SM-ROB-NRPS-RBCAP,Perpetual,0.0,,Draft
Basic,0QLWC000002QxrK4AS,01tWC00000DD1YMYA1,Robot Alert,SM-ROA-NRPS-ROBOT,Perpetual,0.0,,Draft
Basic,0QLWC000002QxrL4AS,01tWC00000DD1YkYAL,Robot Console,SM-ROC-NRPS-ROCP,Perpetual,0.0,,Draft
Basic,0QLWC000002Qxsv4AC,01tWC00000DD20uYAD,Robot Bundle - Console & Alert-RenewalMaintenance,SM-ROB-RRM-RBCARM,Renewal Maintenance,151110.0,,Draft
Basic,0QLWC000002Qxxl4AC,01tWC00000DCwVrYAL,Insite Analytics - Core,BI-ISA-NRPS-IACP,Perpetual,2500.0,,Draft
Basic,0QLWC000002Qxxm4AC,01tWC00000DCwVqYAL,Insite Analytics,BI-ISA-NRPS-INSIPE,Perpetual,0.0,,Draft
Basic,0QLWC000002QyDt4AK,01tWC00000DD1RFYA1,MessengerPlus,SM-MP-RSS-MPS,Subscription,0.0,,Draft
Basic,0QLWC000002QyYs4AK,01tWC00000DD1yoYAD,DCS Advanced Bundle OLD,,Subscription,16.8,,Draft
Basic,0QLWC000002QyYt4AK,01tWC00000DD1yqYAD,DCS Essentials Bundle OLD,,Subscription,14.0,,Draft
Basic,0QLWC000002R0ag4AC,01tWC00000DD1yoYAD,DCS Advanced Bundle OLD,,Subscription,16.8,,Draft
Basic,0QLWC000002R0ah4AC,01tWC00000DD1yqYAD,DCS Essentials Bundle OLD,,Subscription,14.0,,Draft
Basic,0QLWC000002RJgY4AW,01tWC00000DD1yqYAD,DCS Essentials Bundle OLD,,Subscription,31.5,,Draft
Basic,0QLWC000002RJgb4AG,01tWC00000DD1yoYAD,DCS Advanced Bundle OLD,,Subscription,16.38,,Draft
Basic,0QLWC000002RQV84AO,01tWC00000DD1MIYA1,GoAnywhere AS2 Send/Receive,GOA-GAM-RSS-GAASRS,Subscription,0.0,,Draft
Basic,0QLWC000002RREH4A4,01tWC00000DD1LwYAL,GoAnywhere Advanced Agent,GOA-GAM-NRPS-GAAAP,Professional Service,0.0,,Draft
Basic,0QLWC000002RU2T4AW,01tWC00000DCwVwYAL,Insite Analytics,BI-ISA-RSS-INSISU,Subscription,0.0,,Draft
Basic,0QLWC000002RU2U4AW,01tWC00000DCwVxYAL,Insite Analytics - Core,BI-ISA-RSS-IACS,Subscription,1375.0,,Draft
Basic,0QLWC000002RY7i4AG,01tWC00000DD1LyYAL,GoAnywhere Advanced Agent,GOA-GAM-RSS-GAAAS,Subscription,0.0,,Draft
Basic,0QLWC000002RY7m4AG,01tWC00000DD1LqYAL,GoAnywhere Accelerated File Transfer,GOA-GAM-RSS-GAAFTS,Subscription,0.0,,Draft
Basic,0QLWC000002RY7n4AG,01tWC00000DD1LwYAL,GoAnywhere Advanced Agent,GOA-GAM-NRPS-GAAAP,Perpetual,0.0,,Draft
Basic,0QLWC000002RY7r4AG,01tWC00000DD1yoYAD,DCS Advanced Bundle OLD,,Subscription,16.8,,Draft
Basic,0QLWC000002RY7s4AG,01tWC00000DD1M0YAL,GoAnywhere Advanced Reporting,GOA-GAM-NRPS-GAARP,Perpetual,0.0,,Draft
Basic,0QLWC000002RY7u4AG,01tWC00000DD1LqYAL,GoAnywhere Accelerated File Transfer,GOA-GAM-RSS-GAAFTS,Subscription,0.0,,Draft
Basic,0QLWC000002RY804AG,01tWC00000DD1yqYAD,DCS Essentials Bundle OLD,,Subscription,17.5,,Draft
Basic,0QLWC000002RY9J4AW,01tWC00000DD17PYAT,Click and Launch Security Awareness Training - All Star,HRM-HRM-RSL-CLSAAS,Subscription,2179.52,,Accepted
Basic,0QLWC000002Rafl4AC,01tWC00000DD1LyYAL,GoAnywhere Advanced Agent,GOA-GAM-RSS-GAAAS,Subscription,0.0,,Draft
Basic,0QLWC000002Rafp4AC,01tWC00000DD1LqYAL,GoAnywhere Accelerated File Transfer,GOA-GAM-RSS-GAAFTS,Subscription,0.0,,Draft
Basic,0QLWC000002Rafq4AC,01tWC00000DD1LwYAL,GoAnywhere Advanced Agent,GOA-GAM-NRPS-GAAAP,Perpetual,0.0,,Draft
Basic,0QLWC000002Rafu4AC,01tWC00000DD1yoYAD,DCS Advanced Bundle OLD,,Subscription,16.8,,Draft
Basic,0QLWC000002Rafv4AC,01tWC00000DD1M0YAL,GoAnywhere Advanced Reporting,GOA-GAM-NRPS-GAARP,Perpetual,0.0,,Draft
Basic,0QLWC000002Rafx4AC,01tWC00000DD1LqYAL,GoAnywhere Accelerated File Transfer,GOA-GAM-RSS-GAAFTS,Subscription,0.0,,Draft
Basic,0QLWC000002Rag34AC,01tWC00000DD1yqYAD,DCS Essentials Bundle OLD,,Subscription,17.5,,Draft
Basic,0QLWC000002RtVV4A0,01tWC00000DD1yoYAD,DCS Advanced Bundle OLD,,Subscription,42.0,,Draft
Basic,0QLWC000002RtVW4A0,01tWC00000DD1yqYAD,DCS Essentials Bundle OLD,,Subscription,35.0,,Draft
Basic,0QLWC000002RriE4AS,01tWC00000DD1LyYAL,GoAnywhere Advanced Agent,GOA-GAM-RSS-GAAAS,Subscription,0.0,,Draft
Basic,0QLWC000002RriI4AS,01tWC00000DD1LqYAL,GoAnywhere Accelerated File Transfer,GOA-GAM-RSS-GAAFTS,Subscription,0.0,,Draft
Basic,0QLWC000002RriJ4AS,01tWC00000DD1LwYAL,GoAnywhere Advanced Agent,GOA-GAM-NRPS-GAAAP,Perpetual,0.0,,Draft
Basic,0QLWC000002RriL4AS,01tWC00000DD11eYAD,Advanced Job Scheduler,SM-AJS-RSS-AJSS,Subscription,0.0,,Draft
Basic,0QLWC000002RriO4AS,01tWC00000DD1yoYAD,DCS Advanced Bundle OLD,,Subscription,16.8,,Draft
Basic,0QLWC000002RriP4AS,01tWC00000DD1M0YAL,GoAnywhere Advanced Reporting,GOA-GAM-NRPS-GAARP,Perpetual,0.0,,Draft
Basic,0QLWC000002RriT4AS,01tWC00000DD1LqYAL,GoAnywhere Accelerated File Transfer,GOA-GAM-RSS-GAAFTS,Subscription,0.0,,Draft
Basic,0QLWC000002RraA4AS,01tWC00000DD1LyYAL,GoAnywhere Advanced Agent,GOA-GAM-RSS-GAAAS,Subscription,0.0,,Draft
Basic,0QLWC000002RraE4AS,01tWC00000DD1LqYAL,GoAnywhere Accelerated File Transfer,GOA-GAM-RSS-GAAFTS,Subscription,0.0,,Draft
Basic,0QLWC000002RraF4AS,01tWC00000DD1LwYAL,GoAnywhere Advanced Agent,GOA-GAM-NRPS-GAAAP,Perpetual,0.0,,Draft
Basic,0QLWC000002RraH4AS,01tWC00000DD11eYAD,Advanced Job Scheduler,SM-AJS-RSS-AJSS,Subscription,0.0,,Draft
Basic,0QLWC000002RraK4AS,01tWC00000DD1yoYAD,DCS Advanced Bundle OLD,,Subscription,16.8,,Draft
Basic,0QLWC000002RraL4AS,01tWC00000DD1M0YAL,GoAnywhere Advanced Reporting,GOA-GAM-NRPS-GAARP,Perpetual,0.0,,Draft
Basic,0QLWC000002RraP4AS,01tWC00000DD1LqYAL,GoAnywhere Accelerated File Transfer,GOA-GAM-RSS-GAAFTS,Subscription,0.0,,Draft
Basic,0QLWC000002RsPl4AK,01tWC00000DCwVqYAL,Insite Analytics,BI-ISA-NRPS-INSIPE,Perpetual,0.0,,Draft
Basic,0QLWC000002RsPm4AK,01tWC00000DCwVrYAL,Insite Analytics - Core,BI-ISA-NRPS-IACP,Perpetual,2500.0,,Draft
Basic,0QLWC000002RraV4AS,01tWC00000DD1yqYAD,DCS Essentials Bundle OLD,,Subscription,17.5,,Draft
Basic,0QLWC000002RriZ4AS,01tWC00000DD1yqYAD,DCS Essentials Bundle OLD,,Subscription,17.5,,Draft
Basic,0QLWC000002RtTt4AK,01tWC00000DD1LyYAL,GoAnywhere Advanced Agent,GOA-GAM-RSS-GAAAS,Subscription,0.0,,Draft
Basic,0QLWC000002RtTx4AK,01tWC00000DD1LqYAL,GoAnywhere Accelerated File Transfer,GOA-GAM-RSS-GAAFTS,Subscription,0.0,,Draft
Basic,0QLWC000002RtTy4AK,01tWC00000DD1LwYAL,GoAnywhere Advanced Agent,GOA-GAM-NRPS-GAAAP,Perpetual,0.0,,Draft
Basic,0QLWC000002RtU04AK,01tWC00000DD11eYAD,Advanced Job Scheduler,SM-AJS-RSS-AJSS,Subscription,0.0,,Draft
Basic,0QLWC000002RtU34AK,01tWC00000DD1yoYAD,DCS Advanced Bundle OLD,,Subscription,16.8,,Draft
Basic,0QLWC000002RtU44AK,01tWC00000DD1M0YAL,GoAnywhere Advanced Reporting,GOA-GAM-NRPS-GAARP,Perpetual,0.0,,Draft
Basic,0QLWC000002RtU84AK,01tWC00000DD1LqYAL,GoAnywhere Accelerated File Transfer,GOA-GAM-RSS-GAAFTS,Subscription,0.0,,Draft
Basic,0QLWC000002RtUE4A0,01tWC00000DD1yqYAD,DCS Essentials Bundle OLD,,Subscription,17.5,,Draft
Basic,0QLWC000002RtaL4AS,01tWC00000DCwVqYAL,Insite Analytics,BI-ISA-NRPS-INSIPE,Perpetual,0.0,,Draft
Basic,0QLWC000002RtaM4AS,01tWC00000DCwVrYAL,Insite Analytics - Core,BI-ISA-NRPS-IACP,Perpetual,2500.0,,Draft
Basic,0QLWC000002Rxnd4AC,01tWC00000DD1LyYAL,GoAnywhere Advanced Agent,GOA-GAM-RSS-GAAAS,Subscription,0.0,,Draft
Basic,0QLWC000002Rxnh4AC,01tWC00000DD1LqYAL,GoAnywhere Accelerated File Transfer,GOA-GAM-RSS-GAAFTS,Subscription,0.0,,Draft
Basic,0QLWC000002Rxni4AC,01tWC00000DD1LwYAL,GoAnywhere Advanced Agent,GOA-GAM-NRPS-GAAAP,Perpetual,0.0,,Draft
Basic,0QLWC000002Rxnk4AC,01tWC00000DD11eYAD,Advanced Job Scheduler,SM-AJS-RSS-AJSS,Subscription,0.0,,Draft
Basic,0QLWC000002Rxnn4AC,01tWC00000DD1yoYAD,DCS Advanced Bundle OLD,,Subscription,16.8,,Draft
Basic,0QLWC000002Rxno4AC,01tWC00000DD1M0YAL,GoAnywhere Advanced Reporting,GOA-GAM-NRPS-GAARP,Perpetual,0.0,,Draft
Basic,0QLWC000002Rxns4AC,01tWC00000DD1LqYAL,GoAnywhere Accelerated File Transfer,GOA-GAM-RSS-GAAFTS,Subscription,0.0,,Draft
Basic,0QLWC000002Rxny4AC,01tWC00000DD1yqYAD,DCS Essentials Bundle OLD,,Subscription,17.5,,Draft
Basic,0QLWC000002Ryjh4AC,01tWC00000DCwVqYAL,Insite Analytics,BI-ISA-NRPS-INSIPE,Perpetual,0.0,,Draft
Basic,0QLWC000002Ryji4AC,01tWC00000DCwVrYAL,Insite Analytics - Core,BI-ISA-NRPS-IACP,Perpetual,2500.0,,Draft
Basic,0QLWC000002RytN4AS,01tWC00000DD1MAYA1,GoAnywhere Advanced Workflows and Reporting,GOA-GAM-RSS-GAAWRS,Subscription,12650.0,,Draft
