Id,Product2Id,Product2.Name,Product2.ProductCode,Product2.Family,Product2.IsActive,Pricebook2Id,Pricebook2.Name,CurrencyIsoCode,UnitPrice,IsActive
01uWC000005pHUFYA2,01tWC00000DCwVcYAL,Imaging Barcode/OCR-NewMaintenance,DM-WCU-RNM-IBONEW,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHULYA2,01tWC00000DCwVeYAL,Imaging Barcode/OCR-RenewalMaintenance,DM-WCU-RRM-IBOREN,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHURYA2,01tWC00000DCwVhYAL,Info Print Integrator/400-NewMaintenance,DM-DML-RNM-IPI4NE,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHUXYA2,01tWC00000DCwVjYAL,Info Print Integrator/400-RenewalMaintenance,DM-DML-RRM-IPI4RE,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHUdYAM,01tWC00000DCwVlYAL,Information Governance Server (Registrars)-NewMaintenance,ES-SEG-RNM-IGSRNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHUjYAM,01tWC00000DCwVnYAL,Information Governance Server (Registrars)-RenewalMaintenance,ES-SEG-RRM-IGSRRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHUpYAM,01tWC00000DCwVpYAL,Insite Analytics-NewMaintenance,BI-ISA-RNM-INSINE,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHV0YAM,01tWC00000DCwW1YAL,Integrated Access Control (IAC) Option - DATA CONN-NewMaintenance,CM-TQO-RNM-IACINE,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHV6YAM,01tWC00000DCwW3YAL,Integrated Access Control (IAC) Option - DATA CONN-RenewalMaintenance,CM-TQO-RRM-IACIRE,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHVCYA2,01tWC00000DCwW4YAL,Integration Toolkit-NewMaintenance,DM-WFM-RNM-INTENE,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
