status	chars	ext	relpath	note
ok	117288	xlsx	Pricing and Products/Cyber Products.xlsx	
ok	22175	pptx	Pricing and Products/Cyber_Pricing Strategy_Project Summary as of 5.29.25.pptx	
ok	29566	xlsx	Pricing and Products/D365 SKU Tiered Pricing.xlsx	
ok	122209	xlsx	Pricing and Products/QuotingBillingImportantFields.xlsx	
ok	636327	xlsx	Pricing and Products/ServicesProductDescriptions.xlsx	
ok	98268	xlsx	Pricing and Products/Tech Products.xlsx	
ok	38584	xlsx	Pricing and Products/Tech_GlobalscapeSKUsfromSalesforce_BSS-22410-2025-06-04-10-45-55.xlsx	
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Agari Pricing 2024 - revised 6.21.2024.xlsx	password-protected; 
ok	16303	pdf	Pricing and Products/Pricebooks From SharePoint/Alert Logic_ global-price-list-ds-r1-am.pdf	
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/AutoMate Pricing 2024.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Beyond Security Pricing _revised Oct 2022 (Federal Incl).xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Business Intelligence 2024 - revised 7.8.24.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Bytware 2024 - revised 07.23.24 - locked.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/CCSS Pricing 2024 - revised 7.23.24 - locked.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/COS Pricing 2022.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/CTS 2023 - revised 03.27.23.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Capacity Management 2023 - revised 03.27.23.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Clearswift Pricing 2024 - revised 2.1.24.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Cobalt Strike Pricing_May 2024.xlsx	password-protected; 
ok	145048	xlsx	Pricing and Products/Pricebooks From SharePoint/Copy of KK Pricing ALL_Effective 1.1.2025 - DRAFT 2.xlsx	
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/DDI Pricing 2024_July_Updated VM.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Doc Mgt RJS 2024_24April.xlsx	password-protected; 
ok	40591	pdf	Pricing and Products/Pricebooks From SharePoint/GoAnywhere Pricing Sheet - AUD - 2025.pdf	
ok	41825	pdf	Pricing and Products/Pricebooks From SharePoint/GoAnywhere Pricing Sheet - USD - 2025.pdf	
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Halcyon 2024 - revised 07.19.24 - locked.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/IGA 2023 - revised 03.27.23.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Intermapper 2023 - revised 03.27.23.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/JAMS MVP Pricing 2023 - Updated 06.20.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/MFT Pricing 2024 - revised 4-3-24.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Outflank 11.30.22_OST&Cobalt Bundles added.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/PhishLabs Pricing - revised Jan 2024.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Powertech 2024 - revised 7.12.24.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Robot Pricing 2024 - revised 7.19.24 .xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/SafeStone  2024 - revised 7.12.24.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Skybot Pricing 2023 - revised 3.27.23.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Tango 2023 - revised 07.21.23.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Terranova Pricing 2024_Sept 2024.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Tripwire AMER  LatAm Pricing - Effective 4.1.2024.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Tripwire APAC Pricing - Effective 4.1.2024.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Tripwire EMEA Pricing - Effective 4.1.2024.xlsx	password-protected; 
encrypted	0	xlsx	Pricing and Products/Pricebooks From SharePoint/Tripwire_ KK Pricing ALL_Effective 4.1.2024.xlsx	password-protected; 
ok	115271	xlsx	Pricing and Products/Globalscape Product & Pricing Fields/CPQ_Field_Metadata_Fortra_Globalscape_RLM_Mapped.xlsx	
ok	50233	xlsx	Pricing and Products/Globalscape Product & Pricing Fields/CPQ_Supporting_Field_Metadata_Fortra_Globalscape_RLM_Mapped.xlsx	
ok	41661	xlsx	Pricing and Products/Globalscape Product & Pricing Fields/Contract_Field_Metadata_Fortra_Globalscape_RLM_Mapped.xlsx	
ok	11823	sql	Pricing and Products/Globalscape Product & Pricing Fields/GSPricingExampleScripts.sql	
ok	36518	xlsx	Pricing and Products/Globalscape Product & Pricing Fields/Order_Field_Metadata_Fortra_Globalscape_RLM_Mapped.xlsx	
ok	6727	xlsx	Pricing and Products/Globalscape Product & Pricing Fields/Standard_Objects_Field_Metadata_Fortra_Globalscape_RLM_Mapped.xlsx	
ok	7662	xlsx	Pricing and Products/Approval Matrix/Cyber Sales Approval Matrix 2024_Draft.xlsx	
ok	7497	xlsx	Pricing and Products/Approval Matrix/Tech Sales Approval Matrix 2024_Draft  (1).xlsx	
ok	118001	xlsx	Pricing and Products/Product Hierarchy/Services SKUs D365.xlsx	
ok	64353	xlsx	Pricing and Products/Quoting Rules for D365/Bundle Items D365.xlsx	
ok	30862	xlsx	Pricing and Products/Quoting Rules for D365/ExperlogixRules 2.xlsx	
ok	12333	xlsx	Pricing and Products/Quoting Rules for D365/Fortra Hardware Object Metadata.xlsx	
ok	167	csv	Pricing and Products/Quoting Rules for D365/HardwareOptionSets.csv	
ok	15945	xlsx	Pricing and Products/Quoting Rules for D365/HardwareOptionSets.xlsx	
ok	1398	docx	Pricing and Products/Quoting Rules for D365/Pricing Notes.docx	
ok	9977	xlsx	Pricing and Products/Quoting Rules for D365/RequiredItemsSetUpInD365.xlsx	
ok	66402	xlsx	Pricing and Products/Quoting Rules for D365/Previous version/ExperlogixRules.xlsx	
ok	5794	docx	Quotes and Billing/Export Controls Discovery.docx	
ok	1182	docx	Quotes and Billing/HardwareGrouping.docx	
ok	36383	pdf	Quotes and Billing/Meridian Invoice Example - MSP with MSP End Users.pdf	
ok	40826	pdf	Quotes and Billing/Meridian Quote Example - MSP with MSP End Users.pdf	
ok	1479353	xlsx	Quotes and Billing/Outflank ARR Apr25 v1.xlsx	
ok	1818	docx	Quotes and Billing/PartnerPricingModelSummary.docx	
ok	1429	docx	Quotes and Billing/PartnerPricingModels.docx	
ok	2016	docx	Quotes and Billing/PowerBranchingSalesforce.docx	
ok	910030	xlsx	Quotes and Billing/Running Master Billings File Q2 (Apr'25) - Working Version.xlsx	
ok	176	xlsx	Quotes and Billing/Quote Approval/Approval Exception Form.xlsx	
ok	6513	xlsx	Quotes and Billing/Quote Approval/Deal Desk Approvers.xlsx	
ok	28	docx	Quotes and Billing/Quote Approval/Deal Desk Options.docx	
ok	2589	xlsx	Quotes and Billing/Quote Approval/Quote Approval Teams.xlsx	
ok	8057	xlsx	Quotes and Billing/Quote Approval/Sales Approval Matrix 2024_Draft.xlsx	
ok	7888	xlsx	Quotes and Billing/Quote Approval/Tech Sales Approval Matrix 2024_Draft .xlsx	
ok	1042	docx	Quotes and Billing/D365 TandC Rules/INVOICE Terms and Condition Rules.docx	
ok	11647	docx	Quotes and Billing/D365 TandC Rules/QUOTE Terms and Condition Rules.docx	
