"sf__Id","sf__Error",Name,CurrencyIsoCode,ProductClassificationId,AttributeDefinitionId,AttributeCategoryId,Description,ValueDescription,HelpText,IsHidden,IsReadOnly,IsRequired,Status,Sequence,AttributeNameOverride,DefaultValue,DisplayType,IsPriceImpacting,MinimumValue,MaximumValue,MinimumCharacterCount,MaximumCharacterCount,StepValue
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Number of Units","USD","11Bct0000051QqWEAU","0tjct00000003lzAAA","0v3ct00000002DEAAY","Feature, Maintenance Type, Unit Type, Number of Units","","","false","false","false","Active","","Number of Units","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqZEAU","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Number of Units","USD","11Bct0000051QqZEAU","0tjct00000003lzAAA","0v3ct00000002DEAAY","Feature, Pricing Tier, Unit Type, Number of Units","","","false","false","false","Active","","Number of Units","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqaEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqdEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Number of Units","USD","11Bct0000051QqdEAE","0tjct00000003lzAAA","0v3ct00000002DEAAY","Unit Type, Number of Units, Power License Type, Server Type","","","false","false","false","Active","","Number of Units","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqeEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Number of Units","USD","11Bct0000051QqeEAE","0tjct00000003lzAAA","0v3ct00000002DEAAY","PS Service Type, Unit Type, Number of Units, Server Type","","","false","false","false","Active","","Number of Units","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqfEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqgEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Number of Units","USD","11Bct0000051QqgEAE","0tjct00000003lzAAA","0v3ct00000002DEAAY","Feature, Maintenance Type, Unit Type, Number of Units, Deployment Type, Server Type","","","false","false","false","Active","","Number of Units","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqhEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqiEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqjEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqlEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqoEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Number of Units","USD","11Bct0000051QqoEAE","0tjct00000003lzAAA","0v3ct00000002DEAAY","Pricing Tier, Unit Type, Number of Units","","","false","false","false","Active","","Number of Units","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqpEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqqEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqrEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqtEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","false","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QquEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","false","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Number of Units","USD","11Bct0000051QquEAE","0tjct00000003lzAAA","0v3ct00000002DEAAY","Unit Type, Number of Units, Power License Type, Server type, Group Number","","","false","false","false","Active","","Number of Units","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqxEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","false","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Number of Units","USD","11Bct0000051QqxEAE","0tjct00000003lzAAA","0v3ct00000002DEAAY","Feature, Unit Type, Pricing tier, Number of Units","","","false","false","false","Active","","Number of Units","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqyEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","false","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Number of Units","USD","11Bct0000051QqyEAE","0tjct00000003lzAAA","0v3ct00000002DEAAY","Unit Type, Power License Type, Server Type, Operating System, Number of Units","","","false","false","false","Active","","Number of Units","","","false","","","","",""
