"Sequence","Name","ApiName","Status","Description","CriteriaExpressionType","CriteriaHumanReadable","ValidationMessage","SourceUAT_Id"
"10","Must have SEQUEL Data Warehouse RODIN Select License BI01103 or BI01114_6","mustHaveSequelDataWarehouseRodinSelectLicenseBi01103OrBi01114_6","Active","Remote Data Push SKU","All","[0] ItemProductCode ? BI-SDW-NRPS-RDPP","","14OWC000001rzSz2AI"
"10","Must have SEQUEL Data Warehouse RODIN Select License BI01103 or BI01114_7","mustHaveSequelDataWarehouseRodinSelectLicenseBi01103OrBi01114_7","Active","Remote Data Sourcing SKU","All","[0] ItemProductCode ? BI-SDW-NRPS-RDSP","","14OWC000001rzUb2AI"
"10","Must have SEQUEL Data Warehouse RODIN Select License BI01103 or BI01114_8","mustHaveSequelDataWarehouseRodinSelectLicenseBi01103OrBi01114_8","Active","Trend Tables SKU","All","[0] ItemProductCode ? BI-SDW-NRPS-TRENPE","","14OWC000001rzWD2AY"
"10","Must have Subscription RODIN Select License_Bronze Edition BI01503orBI01514","mustHaveSubscriptionRodinSelectLicense_bronzeEditionBi01503orbi01514","Active","Change Management SKU","All","[0] ItemProductCode ? BI-SDW-RSS-CMS_LIC","","14OWC000001rzw12AA"
"10","Must have Subscription RODIN Select License_Bronze Edition BI01503orBI01514_2","mustHaveSubscriptionRodinSelectLicense_bronzeEditionBi01503orbi01514_2","Active","Lvl1: Message Management Suite SKU","All","[0] ItemProductCode ? BI-SDW-RSS-DATA_LIC","","14OWC000001rzxd2AA"
"10","Must have Subscription RODIN Select License_Bronze Edition BI01503orBI01514_3","mustHaveSubscriptionRodinSelectLicense_bronzeEditionBi01503orbi01514_3","Active","Lvl1: Message Management Suite
(BI-SDW-RSS-DSVBS_LIC)","All","[0] ItemProductCode ? BI-SDW-RSS-DSVBS_LIC","","14OWC000001rzzF2AQ"
"10","Must have Subscription RODIN Select License_Bronze Edition BI01503orBI01514_4","mustHaveSubscriptionRodinSelectLicense_bronzeEditionBi01503orbi01514_4","Active","Enhanced ETL SKU","All","[0] ItemProductCode ? BI-SDW-RSS-EES_LIC","","14OWC000001s00r2AA"
"10","Must have Subscription RODIN Select License_Bronze Edition BI01503orBI01514_5","mustHaveSubscriptionRodinSelectLicense_bronzeEditionBi01503orbi01514_5","Active","Enhanced Metadata Management SKU","All","[0] ItemProductCode ? BI-SDW-RSS-EMMS_LIC","","14OWC000001s02T2AQ"
"10","Must have Subscription RODIN Select License_Bronze Edition BI01503orBI01514_6","mustHaveSubscriptionRodinSelectLicense_bronzeEditionBi01503orbi01514_6","Active","Managed Services - Security Awareness training campaign SKU","All","[0] ItemProductCode ? BI-SDW-RSS-PLS_LIC","","14OWC000001s0452AA"
"10","Must have Subscription RODIN Select License_Bronze Edition BI01503orBI01514_7","mustHaveSubscriptionRodinSelectLicense_bronzeEditionBi01503orbi01514_7","Active","Message Classification
(BI-SDW-RSS-RDPS_LIC)","All","[0] ItemProductCode ? BI-SDW-RSS-RDPS_LIC","","14OWC000001s05h2AA"
"10","Must have Subscription RODIN Select License_Bronze Edition BI01503orBI01514_8","mustHaveSubscriptionRodinSelectLicense_bronzeEditionBi01503orbi01514_8","Active","Message Classification
(BI-SDW-RSS-RDSS_LIC)","All","[0] ItemProductCode ? BI-SDW-RSS-RDSS_LIC","","14OWC000001s07J2AQ"
"10","Must have Subscription RODIN Select License_Bronze Edition BI01503orBI01514_9","mustHaveSubscriptionRodinSelectLicense_bronzeEditionBi01503orbi01514_9","Active","MessengerPlus SKU","All","[0] ItemProductCode ? BI-SDW-RSS-TRENSU_LIC","","14OWC000001s08v2AA"
"10","Renew CCM Limited Management Server Sku","renewCcmLimitedManagementServerSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-CCMLIS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s3mk2AA"
"10","Renew CCM for Network Devices Sku","renewCcmForNetworkDevicesSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-CCMNDS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s3tB2AQ"
"10","Renew CCM for Servers Sku","renewCcmForServersSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-CCMSES_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s3un2AA"
"10","Renew CCM for Single Purpose Devices Sku","renewCcmForSinglePurposeDevicesSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-CCMSID_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s3wP2AQ"
"10","Renew CCM for Workstations Sku","renewCcmForWorkstationsSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-CCMWOS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s3y12AA"
"10","Renew Device Profiler Ev Limited Sku","renewDeviceProfilerEvLimitedSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-DPELIS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s42r2AA"
"10","Renew Device Profiler Ev Sku","renewDeviceProfilerEvSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-DPESUB_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s44T2AQ"
"10","Renew File Integrity Manager for Desktops Sku","renewFileIntegrityManagerForDesktopsSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-DPESUB_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s4652AA"
"10","Renew File Integrity Manager for File Systems Sku","renewFileIntegrityManagerForFileSystemsSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-FIMFSS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s4vh2AA"
"10","Renew File Integrity Manager for Network Devices Sku","renewFileIntegrityManagerForNetworkDevicesSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-FIMNDS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s4yv2AA"
"10","Renew File Integrity Manager for POS End Point Systems Sku","renewFileIntegrityManagerForPosEndPointSystemsSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-FIMNDS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s5IH2AY"
"10","Renew File Integrity Manager for POS Servers Sku","renewFileIntegrityManagerForPosServersSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-FIMNDS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s5LV2AY"
"10","Renew File Integrity Manager for VMware ESX Sku","renewFileIntegrityManagerForVmwareEsxSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-FIMVES_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s5be2AA"
"10","Renew IP360 Sku","renewIp360Sku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-IP36SU_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s5jh2AA"
"10","Renew Policy Manager for Desktops Sku","renewPolicyManagerForDesktopsSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-PMDS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s5lJ2AQ"
"10","Renew Policy Manager for File Systems Sku","renewPolicyManagerForFileSystemsSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-PMFSS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s5mv2AA"
"10","Renew Policy Manager for Network Devices Sku","renewPolicyManagerForNetworkDevicesSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-PMNDS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s5oX2AQ"
"10","Renew Policy Manager for POS End Point Systems Sku","renewPolicyManagerForPosEndPointSystemsSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-PMPS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s5q92AA"
"10","Renew Policy Manager for POS Servers Sku","renewPolicyManagerForPosServersSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-PMPSS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s5rl2AA"
"10","Renew Policy Manager for VMware ESX Sku","renewPolicyManagerForVmwareEsxSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-PMVES_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s5tN2AQ"
"10","Renew Tripwire App Custom Workflow Integration for Nozomi Utility Sku","renewTripwireAppCustomWorkflowIntegrationForNozomiUtilitySku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TACS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s5uz2AA"
"10","Renew Tripwire App Dynamic Software Reconciliation Express Utility sku","renewTripwireAppDynamicSoftwareReconciliationExpressUtilitySku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TRUS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s5wb2AA"
"10","Renew Tripwire App Dynamic Software Reconciliation Utility Sku","renewTripwireAppDynamicSoftwareReconciliationUtilitySku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TADS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s5yD2AQ"
"10","Renew Tripwire App Event Sender Utility Sku","renewTripwireAppEventSenderUtilitySku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TAESUS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s5zp2AA"
"10","Renew Tripwire App TE Integration Framework CA Service Desk Utility Sku","renewTripwireAppTeIntegrationFrameworkCaServiceDeskUtilitySku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TATS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s61R2AQ"
"10","Renew Tripwire App TE Integration Framework ChangeGear Utility Sku","renewTripwireAppTeIntegrationFrameworkChangegearUtilitySku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TAPP_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s6332AA"
"10","Renew Tripwire App TE Integration Framework Cherwell Utility sku","renewTripwireAppTeIntegrationFrameworkCherwellUtilitySku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TRIATE_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s64f2AA"
"10","Renew Tripwire App TE Integration Framework Flex Utility Sku","renewTripwireAppTeIntegrationFrameworkFlexUtilitySku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TAPPTE_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s66H2AQ"
"10","Renew Tripwire App TE Integration Framework Jira Utility sku","renewTripwireAppTeIntegrationFrameworkJiraUtilitySku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TRATEI_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s67t2AA"
"10","Renew Tripwire App TE Integration Framework Remedy Utility sku","renewTripwireAppTeIntegrationFrameworkRemedyUtilitySku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TRATIF_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s69V2AQ"
"10","Renew Tripwire App TE Integration Framework ServiceNow Utility Sku","renewTripwireAppTeIntegrationFrameworkServicenowUtilitySku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TATS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s8rF2AQ"
"10","Renew Tripwire App Whitelist Profiler Utility Sku","renewTripwireAppWhitelistProfilerUtilitySku","Active","","All","[0] ItemProductCode ? Renew Tripwire App Whitelist Profiler Utility Sku AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s8sr2AA"
"10","Renew Tripwire Enterprise Console Sku","renewTripwireEnterpriseConsoleSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TECS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s8w52AA"
"10","Renew Tripwire Enterprise Express Console sku","renewTripwireEnterpriseExpressConsoleSku","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-TEECS_LIC AND [0] QuoteTypeText__c ? Renewal","","14OWC000001s8xh2AA"
