LineNumber	Product2.Name	Product2Id	Fortra_Product_Type__c	Quantity	UnitPrice	ListPrice	Base_Price__c	NetUnitPrice	NetTotalPrice	TotalPrice	Subtotal	TotalLineAmount	PricingTerm	PricingTermCount	PricingTermUnit	StartDate	EndDate	Pre_Partner_Price__c	PrehookRSNetUnitPrice__c	PartnerDiscountPercent	Partner_Discount_Percent__c	COLACalculatedPrice__c	COLA_Uplift_Percent__c	CancelNetUnitPrice__c
4267345	24 X 7 X 365 Monitoring	01tWC00000DD115YAD	Services	1	11811	11811	15000	11811	11811	11811	11811	11811	1	1	Annual	2026-07-06		15000						
4267346	Active Defense BEC Threat Intelligence Service	01tWC00000DD11JYAT	Subscription	1	74015.6	74015.6	94000	74015.6	74015.6	74015.6	74015.6	74015.6	1	1	Annual	2026-07-06		94000						
4267347	Advanced Authentication Modes	01tWC00000DD11YYAT	Perpetual	1	1953	2480.31	1537.7891	1537.7891	1537.7891	1537.7891	1953	1953		0				1537.7891						
