Id,Name,StockKeepingUnit,BasedOnId,BasedOn.Name
01tWC00000DD15rYAD,CCM for Network Devices-NewMaintenance,,11BWC0000037mB92AI,FEAT_UTYPE
01tWC00000DD15wYAD,CCM for Servers-NewMaintenance,,11BWC0000037mB92AI,FEAT_UTYPE
01tWC00000DD161YAD,CCM for Single Purpose Devices-NewMaintenance,,11BWC0000037mB92AI,FEAT_UTYPE
01tWC00000DD166YAD,CCM for Workstations-NewMaintenance,,11BWC0000037mB92AI,FEAT_UTYPE
01tWC00000DD16DYAT,CCM Limited Management Server-NewMaintenance,,11BWC0000037mB92AI,FEAT_UTYPE
01tWC00000DD16LYAT,CCM Management Server-NewMaintenance,,11BWC0000037mB92AI,FEAT_UTYPE
01tWC00000DD20MYAT,Classification for Desktop & Message Classification Enterprise & Classification for Office Enterprise Bundle-NewMaintenance,,11BWC0000037mB92AI,FEAT_UTYPE
01tWC00000DD20PYAT,Classification for Office Ultra & Message Classification Bundle-NewMaintenance,,11BWC0000037mB92AI,FEAT_UTYPE
01tWC00000DD1BNYA1,Device Profiler Ev-NewMaintenance,,11BWC0000037mB92AI,FEAT_UTYPE
01tWC00000DD20RYAT,"Fortra DCS ""Advance"" ULTRA Package - Government-NewMaintenance",,11BWC0000037mB92AI,FEAT_UTYPE
01tWC00000DD20TYAT,"Fortra DCS ""Plus"" ULTRA Package - Government-NewMaintenance",,11BWC0000037mB92AI,FEAT_UTYPE
01tWC00000DD20xYAD,Fortra DCS for DaR (Data at rest) with DCS INTELLIGENT PROTECTION - Government-NewMaintenance,,11BWC0000037mB92AI,FEAT_UTYPE
01tWC00000DD20VYAT,Message Classification & Classification for Office & Classification for Desktop Bundle - Enterprise-NewMaintenance,,11BWC0000037mB92AI,FEAT_UTYPE
01tWC00000DD20XYAT,Message Classification & Classification for Office & Classification for Desktop Bundle - Standard-NewMaintenance,,11BWC0000037mB92AI,FEAT_UTYPE
01tWC00000DD20zYAD,"Titus Classification Suite, Illuminate and Ionic Connector-NewMaintenance",,11BWC0000037mB92AI,FEAT_UTYPE
01tWC00000DD16HYAT,CCM Limited Scan Engine-NewMaintenance,,11BWC0000037mB42AI,FEAT_UTYPE_NUMUNITS
01tWC00000DD1BRYA1,Device Profiler Ev Express-NewMaintenance,,11BWC0000037mB42AI,FEAT_UTYPE_NUMUNITS
01tWC00000DD1BVYA1,Device Profiler Ev Limited-NewMaintenance,,11BWC0000037mB42AI,FEAT_UTYPE_NUMUNITS
01tWC00000DD1ppYAD,Tripwire Log Center Manager-NewMaintenance,,11BWC0000037mB42AI,FEAT_UTYPE_NUMUNITS
01tWC00000DCyyIYAT,VnE Manager Ev Express-NewMaintenance,,11BWC0000037mB42AI,FEAT_UTYPE_NUMUNITS
01tWC00000DCyyKYAT,VnE Manager Ev Limited-NewMaintenance,,11BWC0000037mB42AI,FEAT_UTYPE_NUMUNITS
01tWC00000DCzhhYAD,Sequel Data Warehouse (RODIN) Select License - Bronze Edition-NewMaintenance,,11BWC0000037mBR2AY,FEAT_UTYPE_STYPE
01tWC00000DCzhjYAD,Sequel Data Warehouse (RODIN) Select License - Gold Edition-NewMaintenance,,11BWC0000037mBR2AY,FEAT_UTYPE_STYPE
01tWC00000DD22vYAD,Sequel Data Warehouse (RODIN) Select License - Platinum Edition-NewMaintenance,,11BWC0000037mBR2AY,FEAT_UTYPE_STYPE
01tWC00000DD22xYAD,Sequel Data Warehouse (RODIN) Select License - Silver Edition-NewMaintenance,,11BWC0000037mBR2AY,FEAT_UTYPE_STYPE
01tWC00000DD11DYAT,Abstract-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD11bYAD,Advanced Job Scheduler-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD11fYAD,Advanced Reporting Suite-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD121YAD,AIX on Power-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD137YAD,Alignia Core-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD13BYAT,AnyDate-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD13HYAT,Application System & Object Control-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD13gYAD,Audit Journal Manager-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD13kYAD,Authority Swapper-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD15MYAT,"BUNDLE - Message, Monitor, Remote Control-NewMaintenance",,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD16eYAD,CGI Suite-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD17kYAD,Compliance Center for i-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD196YAD,Costco Suite-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD19wYAD,Data Monitor for iSeries Base Changes-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD19oYAD,Data Monitor for iSeries Base-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1BIYA1,DetectIT-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1C6YAL,Disk Space Manager-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1D4YAL,Document Management System-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1DnYAL,Easy View-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1HPYA1,Enterprise Console-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1HgYAL,Esend-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1LfYAL,Gannett Suite-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1PFYA1,Green Screen-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1PIYA1,GSM TC35 Terminal Ph-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1PLYA1,GSM TC65 Terminal Ph-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1POYA1,HA-MX Monitor-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1PSYA1,Halcyon Exit Point Manager-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1PcYAL,"HMM, HEP, HPM-NewMaintenance",,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1Q9YAL,IFDS Suite-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DCwWwYAL,Linux on Power-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1QFYA1,LPAR-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1QJYA1,Lvl1: Message Management Suite-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1QNYA1,Lvl2: Systems Operations Suite-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1QRYA1,Lvl3: Advanced Automation Suite-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1QVYA1,Lvl4: Operations Center Suite-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1QmYAL,Menu & Application Program-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1R0YAL,Message Communicator-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1R4YAL,Message Manager-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1R8YAL,MessengerConsole-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1RCYA1,MessengerPlus-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1RNYA1,Mizuno Suite-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1RWYA1,Monitor-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1RbYAL,MQ Manager-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1RkYAL,Multiple System Administrator-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD09mYAD,Network Traffic Controller-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD09qYAD,NETWORK-Alternative Host-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD09uYAD,NETWORK-Host-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD09yYAD,NETWORK-Node-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD0A9YAL,Nport 5110-UK-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD0APYA1,NSS - VIOS-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1U0YAL,Paragon Suite-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1U9YAL,Password Reset-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1USYA1,PeekPlus-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1UWYA1,Perf Analyzer GUI-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1UaYAL,Performance Analyzer-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1UeYAL,Performance Monitor-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1UmYAL,Performance Navigator for IBM i-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD1UiYAL,Performance Navigator-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
