
===== SHEET: Tripwire Enterprise (181r x 9c) =====
製品番号 SKU	数量 Qty	製品名 Description	定価 TWKK List Price (External- Distributor list price)	50% Discount from List (Distributor Buy Price)	55% Discount from List (Distributor Buy Price)	60% Discount from List (Distributor Buy Price)	65% of Distributor Buy Price (target based upon 2013 results)	Yen Transfer Price
TEサーバー (Consoles)
172200-01-JA	1001+	Tripwire Enterprise for Network Devices - Basic Support	3024.0000000000005	1512.0000000000002	1360.8000000000002	1209.6000000000001	982.8000000000002	1000
172200-03-JA	1-100	Tripwire Enterprise for Network Devices - Renewal Basic Support	8964	4482	4033.8	3585.6000000000004	2913.3	3000
172200-03-JA	101-250	Tripwire Enterprise for Network Devices - Renewal Basic Support	7128.000000000001	3564.0000000000005	3207.6000000000004	2851.2000000000007	2316.6000000000004	2000
172200-03-JA	251-500	Tripwire Enterprise for Network Devices - Renewal Basic Support	4428	2214	1992.6000000000001	1771.2	1439.1000000000001	1000
172200-03-JA	501-1000	Tripwire Enterprise for Network Devices - Renewal Basic Support	3780.0000000000005	1890.0000000000002	1701.0000000000002	1512.0000000000002	1228.5000000000002	1000
172200-03-JA	1001+	Tripwire Enterprise for Network Devices - Renewal Basic Support	2916	1458	1312.2	1166.4	947.7	1000
172230-00-JA	1-100	Tripwire Enterprise for VMWare ESX - License	220528.00000000003	110264.00000000001	99237.60000000002	88211.20000000001	71671.6	72000
172230-00-JA	101-250	Tripwire Enterprise for VMWare ESX - License	172256.00000000003	86128.00000000001	77515.20000000001	68902.40000000001	55983.20000000001	56000
172230-00-JA	251-500	Tripwire Enterprise for VMWare ESX - License	146832	73416	66074.40000000001	58732.8	47720.4	48000
172230-00-JA	501-1000	Tripwire Enterprise for VMWare ESX - License	113120.00000000001	56560.00000000001	50904.00000000001	45248.00000000001	36764.00000000001	37000
172230-00-JA	1001+	Tripwire Enterprise for VMWare ESX - License	78624.00000000001	39312.00000000001	35380.80000000001	31449.600000000006	25552.800000000007	26000
172230-01-JA	1-100	Tripwire Enterprise for VMWare ESX - Basic Support	46368.00000000001	23184.000000000004	20865.600000000002	18547.200000000004	15069.600000000002	15000
172230-01-JA	101-250	Tripwire Enterprise for VMWare ESX - Basic Support	36176	18088	16279.2	14470.400000000001	11757.2	12000
172230-01-JA	251-500	Tripwire Enterprise for VMWare ESX - Basic Support	30800.000000000004	15400.000000000002	13860.000000000002	12320.000000000002	10010.000000000002	10000
172230-01-JA	501-1000	Tripwire Enterprise for VMWare ESX - Basic Support	23632.000000000004	11816.000000000002	10634.400000000001	9452.800000000001	7680.4000000000015	8000
172230-01-JA	1001+	Tripwire Enterprise for VMWare ESX - Basic Support	16464	8232	7408.8	6585.6	5350.8	5000
172230-03-JA	1-100	Tripwire Enterprise for VMware ESX - Renewal Basic Support	44712	22356	20120.4	17884.8	14531.4	15000
172230-03-JA	101-250	Tripwire Enterprise for VMware ESX - Renewal Basic Support	34884	17442	15697.800000000001	13953.6	11337.300000000001	11000
172230-03-JA	251-500	Tripwire Enterprise for VMware ESX - Renewal Basic Support	29700.000000000004	14850.000000000002	13365.000000000002	11880.000000000002	9652.500000000002	10000
172230-03-JA	501-1000	Tripwire Enterprise for VMware ESX - Renewal Basic Support	22788	11394	10254.6	9115.2	7406.1	7000
172230-03-JA	1001+	Tripwire Enterprise for VMware ESX - Renewal Basic Support	15876.000000000002	7938.000000000001	7144.200000000001	6350.4000000000015	5159.700000000001	5000
172107-00-JA	1-100	Tripwire Enterprise for POS Servers - License	73696	36848	33163.200000000004	29478.4	23951.2	24000
172107-00-JA	101-250	Tripwire Enterprise for POS Servers - License	58912.00000000001	29456.000000000004	26510.400000000005	23564.800000000003	19146.4	19000
172107-00-JA	251-500	Tripwire Enterprise for POS Servers - License	36736	18368	16531.2	14694.400000000001	11939.2	12000
172107-00-JA	501-1000	Tripwire Enterprise for POS Servers - License	31808.000000000004	15904.000000000002	14313.600000000002	12723.200000000003	10337.600000000002	10000
172107-00-JA	1001+	Tripwire Enterprise for POS Servers - License	24416.000000000004	12208.000000000002	10987.200000000003	9766.400000000001	7935.200000000002	8000
172107-01-JA	1-100	Tripwire Enterprise for POS Servers - Basic Support	15568.000000000002	7784.000000000001	7005.600000000001	6227.200000000001	5059.6	5000
172107-01-JA	101-250	Tripwire Enterprise for POS Servers - Basic Support	12320.000000000002	6160.000000000001	5544.000000000001	4928.000000000001	4004.000000000001	4000
172107-01-JA	251-500	Tripwire Enterprise for POS Servers - Basic Support	7616.000000000001	3808.0000000000005	3427.2000000000003	3046.4000000000005	2475.2000000000003	2000
172107-01-JA	501-1000	Tripwire Enterprise for POS Servers - Basic Support	6608.000000000001	3304.0000000000005	2973.6000000000004	2643.2000000000007	2147.6000000000004	2000
172107-01-JA	1001+	Tripwire Enterprise for POS Servers - Basic Support	5152.000000000001	2576.0000000000005	2318.4000000000005	2060.8000000000006	1674.4000000000003	2000
172107-03-JA	1-100	Tripwire Enterprise for POS Servers - Renewal Basic Support	15012.000000000002	7506.000000000001	6755.400000000001	6004.800000000001	4878.900000000001	5000
172107-03-JA	101-250	Tripwire Enterprise for POS Servers - Renewal Basic Support	11880	5940	5346	4752	3861	4000
