LineNumber	Product2.Name	Product2Id	Fortra_Product_Type__c	Quantity	UnitPrice	ListPrice	Base_Price__c	NetUnitPrice	NetTotalPrice	TotalPrice	Subtotal	TotalLineAmount	PricingTerm	PricingTermCount	PricingTermUnit	StartDate	EndDate	Pre_Partner_Price__c	PrehookRSNetUnitPrice__c	PartnerDiscountPercent	Partner_Discount_Percent__c	COLACalculatedPrice__c	COLA_Uplift_Percent__c	CancelNetUnitPrice__c
4267272	Powertech Identity & Access Manager (BoKS)	01tWC00000DD1btYAD	Perpetual	1	355	355	355	301.75	301.75	301.75	301.75	301.75		0				355		15				
4267273	Powertech Identity & Access Manager (BoKS)-NewMaintenance	01tWC00000DD1bsYAD	New Maintenance	1	355	0	355	62.48	62.48	62.48	62.48	62.48		0				355		15	15			
4267274	beSECURE - Cloud-Based	01tWC00000DD10zYAD	Subscription	1	6221	0	6221	5101.22	5101.22	5101.22	6221	6221	1	1	Annual	2026-07-01		6221		18				
4267275	BoKS Administration License Fee	01tWC00000DD15IYAT		1	1000	1000	1000	850	850	850	850	850		0				1000		15				
