LineNumber	Product2.Name	Product2Id	Fortra_Product_Type__c	Quantity	UnitPrice	ListPrice	Base_Price__c	NetUnitPrice	NetTotalPrice	TotalPrice	Subtotal	TotalLineAmount	PricingTerm	PricingTermCount	PricingTermUnit	StartDate	EndDate	Pre_Partner_Price__c	PrehookRSNetUnitPrice__c	PartnerDiscountPercent	Partner_Discount_Percent__c	COLACalculatedPrice__c	COLA_Uplift_Percent__c	CancelNetUnitPrice__c
4266144	beSECURE - Premise-Based	01tWC00000DD15FYAT	Subscription	1	770.1104	770.1104	824	770.1104	770.1104	770.1104	770.1104	770.1104	1	1	Annual	2026-06-09	2027-06-08	824						
4266145	Advanced Authentication Modes	01tWC00000DD11YYAT	Perpetual	1	857.75	2943.99	801.6562	801.6562	801.6562	801.6562	857.75	857.75		0				801.6562						
4266150	VM Analyst	01tWC00000DD1qnYAD	Services	1	467.3	467.3	500	467.3	467.3	467.3	467.3	467.3		0				500						
4266157	Click and Launch Security Awareness Training - All Star	01tWC00000DD17PYAT	Subscription	1	1248.62	2037.428	1248.62	1248.62	1248.62	1248.62	1248.62	1248.62	1	1	Annual	2026-06-09	2027-06-08	1248.62						
4266980	beSECURE - Cloud-Based	01tWC00000DD10zYAD	Subscription	1	0	0	0	0	0	0	0	0	1	1	Annual	2026-06-29	2027-06-28							
4266981	beSECURE - Premise-Based	01tWC00000DD15FYAT	Subscription	1	770.1104	770.1104	824	770.1104	770.1104	770.1104	770.1104	770.1104	1	1	Annual	2026-06-29	2027-06-28	824						
