Id,Name,ProductCode
01tWC00000FCD0sYAH,Linux on Power (Technical)-NewMaintenance,SM-NSS-RNM-LOPNEW-TECH
01tWC00000FCD0tYAH,Linux on Power (Technical),SM-NSS-NRPS-LOPPER-TECH
01tWC00000FCD0uYAH,Linux on Power (Technical)-RenewalMaintenance,SM-NSS-RRM-LOPREN-TECH
01tWC00000FCD0vYAH,Enterprise Console (Technical)-NewMaintenance,SM-EC-RNM-ECNM-TECH
01tWC00000FCD0wYAH,Enterprise Console (Technical)-RenewalMaintenance,SM-EC-RRM-ECRM-TECH
01tWC00000FCD0xYAH,Gannett Suite (Technical)-NewMaintenance,SM-HCS-RNM-GANNNE-TECH
01tWC00000FCD0yYAH,Gannett Suite (Technical),SM-HCS-NRPS-GANNPE-TECH
01tWC00000FCD0zYAH,Gannett Suite (Technical)-RenewalMaintenance,SM-HCS-RRM-GANNRE-TECH
01tWC00000FCD10YAH,GSM TC35 Terminal Ph (Technical)-NewMaintenance,SM-SYM-RNM-GSMTTP-TECH
01tWC00000FCD11YAH,GSM TC35 Terminal Ph (Technical),SM-SYM-NRPS-GSMTC3-TECH
01tWC00000FCD12YAH,GSM TC35 Terminal Ph (Technical)-RenewalMaintenance,SM-SYM-RRM-GSMTCT-TECH
01tWC00000FCD13YAH,GSM TC65 Terminal Ph (Technical)-NewMaintenance,SM-SYM-RNM-GSMTC6-TECH
01tWC00000FCD14YAH,GSM TC65 Terminal Ph (Technical),SM-SYM-NRPS-GSMTCP-TECH
01tWC00000FCD15YAH,GSM TC65 Terminal Ph (Technical)-RenewalMaintenance,SM-SYM-RRM-GSMTCR-TECH
01tWC00000FCD16YAH,HA-MX Monitor (Technical)-NewMaintenance,SM-HAM-RNM-HAMNEW-TECH
01tWC00000FCD17YAH,HA-MX Monitor (Technical),SM-HAM-NRPS-HAMPER-TECH
01tWC00000FCD18YAH,HA-MX Monitor (Technical)-RenewalMaintenance,SM-HAM-RRM-HAMREN-TECH
01tWC00000FCD19YAH,HA-MX Monitor (Technical),SM-HAM-RSS-HAMSUB-TECH
01tWC00000FCD1AYAX,Halcyon Exit Point Manager (Technical)-NewMaintenance,SM-HEP-RNM-HEPMNM-TECH
01tWC00000FCD1BYAX,Halcyon Exit Point Manager (Technical),SM-HEP-NRPS-HEPMP-TECH
01tWC00000FCD1CYAX,Halcyon Exit Point Manager (Technical)-RenewalMaintenance,SM-HEP-RRM-HEPMRM-TECH
01tWC00000FCD1DYAX,Halcyon Exit Point Manager (Technical),SM-HEP-RSS-HEPMS-TECH
01tWC00000FCD1EYAX,Halcyon Services (Technical),SM-HEP-NRST-HALCYO-TECH
01tWC00000FCD1FYAX,Halcyon Recuring Services (Technical),SM-HEP-RSP-HLRS-TECH
01tWC00000FCD1GYAX,Halcyon Travel Expense (Technical),SM-HEP-NRSE-HTE-TECH
01tWC00000FCD1HYAX,"HMM, HEP, HPM (Technical)-NewMaintenance",SM-SYM-RNM-HHHNEW-TECH
01tWC00000FCD1IYAX,"HMM, HEP, HPM (Technical)",SM-SYM-NRPS-HHHPER-TECH
01tWC00000FCD1JYAX,"HMM, HEP, HPM (Technical)-RenewalMaintenance",SM-SYM-RRM-HHHREN-TECH
01tWC00000FCD1KYAX,"HMM, HEP, HPM (Technical)",SM-SYM-RSS-HHHSUB-TECH
01tWC00000FCD1LYAX,IFDS Suite (Technical),SM-HCS-NRPS-IFDSPE-TECH
01tWC00000FCD1MYAX,IFDS Suite (Technical)-RenewalMaintenance,SM-HCS-RRM-IFDSRE-TECH
01tWC00000FCD1NYAX,Linux on Power (Technical),SM-NSS-RSS-LOPSUB-TECH
01tWC00000FCD1OYAX,LPAR (Technical)-NewMaintenance,SM-RLP-RNM-LPARNE-TECH
01tWC00000FCD1PYAX,LPAR (Technical),SM-RLP-NRPS-LPARPE-TECH
01tWC00000FCD1QYAX,LPAR (Technical)-RenewalMaintenance,SM-RLP-RRM-LPARRE-TECH
01tWC00000FCD1RYAX,LPAR (Technical),SM-RLP-RSS-LPARSU-TECH
01tWC00000FCD1SYAX,Lvl1: Message Management Suite (Technical)-NewMaintenance,SM-LMM-RNM-LMMSNE-TECH
01tWC00000FCD1TYAX,Lvl1: Message Management Suite (Technical),SM-LMM-NRPS-LMMSPE-TECH
01tWC00000FCD1UYAX,Lvl1: Message Management Suite (Technical)-RenewalMaintenance,SM-LMM-RRM-LMMSRE-TECH
01tWC00000FCD1VYAX,Lvl1: Message Management Suite (Technical),SM-LMM-RSS-LMMSSU-TECH
01tWC00000FCD1WYAX,Lvl2: Systems Operations Suite (Technical)-NewMaintenance,SM-LSO-RNM-LSOSNE-TECH
01tWC00000FCD1XYAX,Lvl2: Systems Operations Suite (Technical),SM-LSO-NRPS-LSOSPE-TECH
01tWC00000FCD1YYAX,Lvl2: Systems Operations Suite (Technical)-RenewalMaintenance,SM-LSO-RRM-LSOSRE-TECH
01tWC00000FCD1ZYAX,Lvl2: Systems Operations Suite (Technical),SM-LSO-RSS-LSOSSU-TECH
01tWC00000FCD1aYAH,Lvl3: Advanced Automation Suite (Technical)-NewMaintenance,SM-LAA-RNM-LAASNE-TECH
01tWC00000FCD1bYAH,Lvl3: Advanced Automation Suite (Technical),SM-LAA-NRPS-LAASPE-TECH
01tWC00000FCD1cYAH,Lvl3: Advanced Automation Suite (Technical)-RenewalMaintenance,SM-LAA-RRM-LAASRE-TECH
01tWC00000FCD1dYAH,Lvl3: Advanced Automation Suite (Technical),SM-LAA-RSS-LAASSU-TECH
01tWC00000FCD1eYAH,Lvl4: Operations Center Suite (Technical),SM-LOC-NRPS-LOCSPE-TECH
01tWC00000FCD1fYAH,Lvl4: Operations Center Suite (Technical),SM-LOC-RSS-LOCSSU-TECH
01tWC00000FCDleYAH,Alignia - Control Point (Technical)-NewMaintenance,SM-VIT-RNM-ACPM-TECH
01tWC00000FCDlfYAH,Alignia - Control Point (Technical),SM-VIT-NRPS-ALCO-TECH
01tWC00000FCDlgYAH,Alignia - Control Point (Technical)-RenewalMaintenance,SM-VIT-RRM-ALRM-TECH
01tWC00000FCDlhYAH,Alignia - Control Point (Technical),SM-VIT-RSS-ALIGNC-TECH
01tWC00000FCDliYAH,Alignia - Core (Technical)-NewMaintenance,SM-VIT-RNM-ACNM-TECH
01tWC00000FCDljYAH,Alignia - Core (Technical),SM-VIT-NRPS-ACP-TECH
01tWC00000FCDlkYAH,Alignia - Core (Technical)-RenewalMaintenance,SM-VIT-RRM-ACRM-TECH
01tWC00000FCDllYAH,Alignia - Core (Technical),SM-VIT-RSS-ACS-TECH
