CurrencyIsoCode,Name,OwnerId,ffpsai__AccountingReportingCode__c,ffpsai__Dimension2__c,ffpsai__OwnerCompany__c,pse__Action_Update_Current_Time_Period__c,pse__Actuals_Last_Update_Date__c,pse__Actuals_Last_Updated_By__c,pse__Backlog_Last_Update_Date__c,pse__Backlog_Last_Updated_By__c,pse__Billable_External_Hours__c,pse__Billable_Internal_Hours__c,pse__Billed__c,pse__Billings__c,pse__Bookings__c,pse__Credited_Non_Billable_Internal_Hours__c,pse__Current_Time_Period_End_Date__c,pse__Current_Time_Period__c,pse__Default_Work_Calendar__c,pse__Exclude_From_Utilization__c,pse__Excluded_Hours__c,pse__Expense_Budget__c,pse__Expense_Costs__c,pse__External_Costs__c,pse__Global_Practice__c,pse__Hierarchy_Depth__c,pse__Hist_Sch_Utilization_Billable_Hours__c,pse__Hist_Sch_Utilization_Credited_Hours__c,pse__Hist_Sch_Utilization_Excluded_Hours__c,pse__Hist_Sch_Utilization_Held_Hours__c,pse__Hist_Sch_Utilization_Non_Billable_Hrs__c,pse__Historical_Utilization_Billable_Hours__c,pse__Historical_Utilization_Calendar_Hours__c,pse__Historical_Utilization_Credited_Hours__c,pse__Historical_Utilization_Excluded_Hours__c,pse__Historical_Utilization_Non_Billable_Hrs__c,pse__Historical_Utilization_Target_Hours__c,pse__Historical_Utilization__c,pse__Inactive_Project_Backlog__c,pse__Include_In_Forecasting__c,pse__Internal_Budget__c,pse__Internal_Costs__c,pse__Invoiced__c,pse__Is_Inactive__c,pse__Non_Billable_External_Hours__c,pse__Non_Billable_Internal_Hours__c,pse__Other_Costs__c,pse__Parent_Practice__c,pse__Pass_Through_Billings__c,pse__Plan_Last_Update_Date__c,pse__Plan_Last_Updated_By__c,pse__Planned_Billings__c,pse__Planned_Bookings__c,pse__Planned_External_Costs__c,pse__Planned_Internal_Costs__c,pse__Planned_Revenue__c,pse__Planned_Utilization__c,pse__Practice_Head__c,pse__Practice_ID_Chain__c,pse__Practice_Name_Chain__c,pse__Pre_Billed__c,pse__Revenue__c,pse__Reversed_ID_Chain__c,pse__Scheduled_Backlog_Calculated_Date__c,pse__Scheduled_Backlog_End_Date__c,pse__Scheduled_Milestone__c,pse__Scheduled_Time__c,pse__Scheduled_Utilization_Billable_Hours__c,pse__Scheduled_Utilization_Calendar_Hours__c,pse__Scheduled_Utilization_Credited_Hours__c,pse__Scheduled_Utilization_Excluded_Hours__c,pse__Scheduled_Utilization_Held_Hours__c,pse__Scheduled_Utilization_Non_Billable_Hrs__c,pse__Scheduled_Utilization_Target_Hours__c,pse__Scheduled_Utilization__c,pse__Total_Time_Period_Hours__c,pse__Total_Utilization__c,pse__Unscheduled_Backlog__c,pse__Utilization_Calculation_Date__c,pse__Utilization_Elapsed_Hours__c,pse__Utilization_Last_Calculation_Date__c,pse__Utilization_Last_Update_Date__c,pse__Utilization_Last_Updated_By__c,pse__Utilization_Over_Full_Time_Period__c,pse__Utilization_Period_End_Date__c,pse__Utilization_Period_Start_Date__c,pse__Utilization_Target_Hours__c,pse__Utilization__c
USD,Global Practice,005aZ00000WzoqHQAR,,,,False,2026-04-22T20:51:38.000+0000,,2026-01-12T10:13:53.000+0000,,957,792480.25,22500,329196501.56,377758625.26,15,2050-12-31,,,False,0,329465973.85,2969.18,166600,,0,0,0,0,0,0,0,0,0,0,0,0,0,22434730.57,False,7000,227764094.28,0,False,0,7515.75,0,,144620.9,2026-01-12T10:13:53.000+0000,,0,0,0,0,0,0,,aD0WC0000004U9B0AU,Global Practice,0,0,aD0WC0000004U9B0AU,,,0,0,0,0,0,0,0,0,0,0,,0,0,,,,2026-01-12T10:13:53.000+0000,,,,,0,0
USD,Cyber,005aZ00000WzoqHQAR,,,,False,2026-04-22T20:51:38.000+0000,,2026-01-12T10:14:04.000+0000,,957,761158.75,20000,32264568.82,52366782.89,8,2050-12-31,,,False,0,33419528.93,2969.18,166600,,1,0,0,0,0,0,0,0,0,0,0,0,0,21714983.68,False,2000,227762964.28,0,False,0,1075.75,0,,144620.9,2026-01-12T10:14:04.000+0000,,0,0,0,0,0,0,,"aD0WC0000004UAn0AM,aD0WC0000004U9B0AU",Cyber->Global Practice,0,0,"aD0WC0000004U9B0AU,aD0WC0000004UAn0AM",,,0,0,0,0,0,0,0,0,0,0,,0,0,,,,2026-01-12T10:14:04.000+0000,,,,,0,0
USD,Defensive Security,005aZ00000WzoqHQAR,,,,False,2026-04-22T20:51:38.000+0000,,2026-01-12T10:14:22.000+0000,,957,760788.75,20000,27563504.04,46657446.73,8,2050-12-31,,,False,0,28493780.99,2969.18,166600,,2,0,0,0,0,0,0,0,0,0,0,0,0,20790125.91,False,2000,227762964.28,0,False,0,960.75,0,,144620.9,2026-01-12T10:14:22.000+0000,,0,0,0,0,0,0,,"aD0WC0000004UCP0A2,aD0WC0000004UAn0AM,aD0WC0000004U9B0AU",Defensive Security->Cyber->Global Practice,0,0,"aD0WC0000004U9B0AU,aD0WC0000004UAn0AM,aD0WC0000004UCP0A2",,,0,0,0,0,0,0,0,0,0,0,,0,0,,,,2026-01-12T10:14:22.000+0000,,,,,0,0
USD,Offensive Security,005aZ00000WzoqHQAR,,,,False,2026-04-22T20:51:38.000+0000,,2026-01-12T10:14:36.000+0000,,0,370,0,4700064.78,5674336.16,0,2050-12-31,,,False,0,4925747.94,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,26217386.55,False,0,0,0,False,0,115,0,,0,2026-01-12T10:14:36.000+0000,,0,0,0,0,0,0,,"aD0WC0000004UE10AM,aD0WC0000004UAn0AM,aD0WC0000004U9B0AU",Offensive Security->Cyber->Global Practice,0,0,"aD0WC0000004U9B0AU,aD0WC0000004UAn0AM,aD0WC0000004UE10AM",,,0,0,0,0,0,0,0,0,0,0,,0,0,,,,2026-01-12T10:14:36.000+0000,,,,,0,0
USD,Tech,005aZ00000WzoqHQAR,,,,False,2026-04-22T20:51:38.000+0000,,2026-01-12T10:14:59.000+0000,,0,28738.5,2500,296913182.74,325261842.37,5,2050-12-31,,,False,0,296046444.92,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,21245230.37,False,5000,0,0,False,0,3771,0,,0,2026-01-12T10:14:59.000+0000,,0,0,0,0,0,0,,"aD0WC0000004UIr0AM,aD0WC0000004U9B0AU",Tech->Global Practice,0,0,"aD0WC0000004U9B0AU,aD0WC0000004UIr0AM",,,0,0,0,0,0,0,0,0,0,0,,0,0,,,,2026-01-12T10:14:59.000+0000,,,,,0,0
USD,Managed File Transfer,005aZ00000WzoqHQAR,,,,False,2026-04-22T20:51:38.000+0000,,2026-01-12T10:15:13.000+0000,,0,11740,0,148511851.07,160528485.39,0,2050-12-31,,,False,0,143234580.11,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,15214910.61,False,5000,0,0,False,0,612.25,0,,0,2026-01-12T10:15:13.000+0000,,0,0,0,0,0,0,,"aD0WC0000004UKT0A2,aD0WC0000004UIr0AM,aD0WC0000004U9B0AU",Managed File Transfer->Tech->Global Practice,0,0,"aD0WC0000004U9B0AU,aD0WC0000004UIr0AM,aD0WC0000004UKT0A2",,,0,0,0,0,0,0,0,0,0,0,,0,0,,,,2026-01-12T10:15:13.000+0000,,,,,0,0
USD,Power,005aZ00000WzoqHQAR,,,,False,2026-04-22T20:51:38.000+0000,,2026-01-12T10:15:22.000+0000,,0,7716.5,2500,9322694.44,17053484.77,5,2050-12-31,,,False,0,8821365.85,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,14709012.39,False,0,0,0,False,0,1736.5,0,,0,2026-01-12T10:15:22.000+0000,,0,0,0,0,0,0,,"aD0WC0000004UM50AM,aD0WC0000004UIr0AM,aD0WC0000004U9B0AU",Power->Tech->Global Practice,0,0,"aD0WC0000004U9B0AU,aD0WC0000004UIr0AM,aD0WC0000004UM50AM",,,0,0,0,0,0,0,0,0,0,0,,0,0,,,,2026-01-12T10:15:22.000+0000,,,,,0,0
USD,RPA+,005aZ00000WzoqHQAR,,,,False,2026-04-22T20:51:38.000+0000,,2026-01-12T10:15:31.000+0000,,0,9282,0,139078637.23,147679872.21,0,2050-12-31,,,False,0,143990498.96,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,18460795.88,False,0,0,0,False,0,1422.25,0,,0,2026-01-12T10:15:31.000+0000,,0,0,0,0,0,0,,"aD0WC0000004UNh0AM,aD0WC0000004UIr0AM,aD0WC0000004U9B0AU",RPA+->Tech->Global Practice,0,0,"aD0WC0000004U9B0AU,aD0WC0000004UIr0AM,aD0WC0000004UNh0AM",,,0,0,0,0,0,0,0,0,0,0,,0,0,,,,2026-01-12T10:15:31.000+0000,,,,,0,0
USD,Cloud Data Protection,005aZ00000WzoqHQAR,,,,False,2026-01-30T17:59:22.000+0000,,2026-01-30T17:59:22.000+0000,,0,0,0,0,0,0,2050-12-31,,,False,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,,0,2026-01-30T17:59:22.000+0000,,0,0,0,0,0,0,,"aD0WC0000004lun0AA,aD0WC0000004UCP0A2,aD0WC0000004UAn0AM,aD0WC0000004U9B0AU",Cloud Data Protection->Defensive Security->Cyber->Global Practice,0,0,"aD0WC0000004U9B0AU,aD0WC0000004UAn0AM,aD0WC0000004UCP0A2,aD0WC0000004lun0AA",,,0,0,0,0,0,0,0,0,0,0,,0,0,,,,2026-01-30T17:59:22.000+0000,,,,,0,0
USD,Data Protection,005aZ00000WzoqHQAR,,,,False,2026-02-11T15:42:37.000+0000,,2026-01-30T17:59:35.000+0000,,0,0,0,0,4400,0,2050-12-31,,,False,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,,0,2026-01-30T17:59:35.000+0000,,0,0,0,0,0,0,,"aD0WC0000004lwP0AQ,aD0WC0000004UCP0A2,aD0WC0000004UAn0AM,aD0WC0000004U9B0AU",Data Protection->Defensive Security->Cyber->Global Practice,0,0,"aD0WC0000004U9B0AU,aD0WC0000004UAn0AM,aD0WC0000004UCP0A2,aD0WC0000004lwP0AQ",,,0,0,0,0,0,0,0,0,0,0,,0,0,,,,2026-01-30T17:59:35.000+0000,,,,,0,0
