Allow_Regional_Pricing__c,AvailabilityDate,BasedOnId,BillingPolicyId,CPW_Max__c,CPW_Min__c,CanUseQuantitySchedule,CanUseRevenueSchedule,ConfigureDuringSale,CurrencyIsoCode,CustomDecompositionScope,Custom_Product_Name__c,DecompositionScope,Description,DiscontinuedDate,DisplayUrl,EndOfLifeDate,Excluded_Feature_Codes__c,ExternalDataSourceId,ExternalId,External_ID__c,Family,Final_SKU_Name_License_Type__c,Finance_Business_Unit__c,Fortra_Product_Type__c,FulfillmentQtyCalcMethod,GearsetExternalId__c,Hardware_ID__c,Has_Attribute_Pricing__c,HelpText,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Legacy_Brand_Name__c,Legacy_ProductId__c,Legacy_Product_Number__c,License_Type__c,Name,NumberOfQuantityInstallments,NumberOfRevenueInstallments,Parent_Category_Name__c,Power_Split_Type__c,Practice__c,Primary_Catalog_Name__c,Primary_Category_Name__c,Processor_Min__c,ProductCode,ProductType__c,Product_Descriptions__c,Product_Lifecycle_Stage__c,Product_Selling_Model_Type__c,Project_Template__c,QuantityInstallmentPeriod,QuantityScheduleType,QuantityUnitOfMeasure,RecordTypeId,Required_Feature_Codes__c,Rev_Category_Name__c,Rev_Category__c,Rev_Schedule__c,RevenueInstallmentPeriod,RevenueScheduleType,Revenue_Recognition_Schedule_Template__c,Revenue_Treatment__c,Solution_Category__c,Solution_Group__c,Solution__c,StockKeepingUnit,TaxPolicyId,Type,UnitOfMeasureId,Unit__c,UsageModelType,Workday_Sales_Item_ID__c,c2g__CODAAllowDeleteInUse__c,c2g__CODAExternalId__c,c2g__CODAIncludeInIncomeSchedule__c,c2g__CODAIncomeSchedule__c,c2g__CODAInputTaxCode__c,c2g__CODAPurchaseAnalysisAccount__c,c2g__CODASalesRevenueAccount__c,c2g__CODASalesTaxRule__c,c2g__CODASalesTaxStatus__c,c2g__CODATaxCode__c,c2g__CODAUnitOfWork__c,c2g__Email__c,c2g__PlaceOfSupply__c,c2g__ReverseCharge__c,fferpcore__SalesTaxStatus__c,fferpcore__TaxCode__c,pse__Forecast_Curve__c,pse__IsServicesProduct__c,pse__ServicesCreditValue__c
True,2026-01-09T18:00:00.000+0000,,,,,False,False,Allowed,USD,,SASE Quick Start Onboarding fee,OrderLineItem,Services,,,,,,,,Services,SASE Quick Start Onboarding fee - Services,BU62,Services,,DAYqd1DD00000CWt10,False,False,,True,True,False,Cloud Data Protection,29841D8D-60FB-EE11-A1FE-7C1E5217797F,DG06080,Services,SASE Quick Start Onboarding fee,,,Cloud Data Protection,Order Line Only,aAuct000000FmdpCAC,Cyber,CASB,,CDP-CSB-NRSU-SASEQS,Services,,,One Time,,,,1 Each,,,Non-Recurring Services Sales - Set Up,RC_45001,Pre Pay Service,,,As Delivered,Deferred,Cloud Data Protection,Defensive Security,CASB,,1TpaZ00000005nhSAA,,,Cyber,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-09T05:00:00.000+0000,,,,,False,False,Allowed,USD,,Quick Start Implementation Package - DSPM Advanced,OrderLineItem,Services,,,,,,,,Services,Quick Start Implementation Package - DSPM Advanced,BU62,Services,,DAYay1DD00000CWt10,False,False,,True,True,False,Cloud Data Protection,a42c41fb-acaa-f011-bbd3-7c1e5201d423,DC00627-DSPM,Services,Quick Start Implementation Package - DSPM Advanced,,,Cloud Data Protection,Order Line Only,aAuct000000FmdpCAC,Cyber,DSPM,,CDP-DPM-NRSU-QSIPDSA,Services,,,One Time,,,,Quantity,,,Non-Recurring Services Sales - Set Up,RC_45001,,,,As Delivered,Deferred,Cloud Data Protection,Defensive Security,DSPM,,1TpaZ00000005nhSAA,,,Cyber,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-09T05:00:00.000+0000,,,,,False,False,Allowed,USD,,Quick Start Implementation Package - DSPM Essentials,OrderLineItem,Services,,,,,,,,Services,Quick Start Implementation Package - DSPM Essentials,BU62,Services,,TAYWy1DD00000CWt10,False,False,,True,True,False,Cloud Data Protection,26efe8be-acaa-f011-bbd3-7c1e5201d423,DC00625-DSPM,Services,Quick Start Implementation Package - DSPM Essentials,,,Cloud Data Protection,Order Line Only,aAuct000000FmdpCAC,Cyber,DSPM,,CDP-DPM-NRSU-QSIPDSPM,Services,,,One Time,,,,Quantity,,,Non-Recurring Services Sales - Set Up,RC_45001,,,,As Delivered,Deferred,Cloud Data Protection,Defensive Security,DSPM,,1TpaZ00000005nhSAA,,,Cyber,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-09T14:00:00.000+0000,11Bct0000051QpKEAU,,,,False,False,Allowed,USD,,TeamQuest Travel Expense,OrderLineItem,Services | Billed as Incurred,,,,,,,,Services,TeamQuest Travel Expense - Services,BU54,Services,,TAYQlxCD00000CWt10,False,False,,True,True,False,TeamQuest,"D2AB0496-162C-E711-80E3-0050569F6BB1, C889FD98-B9FB-ED11-8849-6045BDEC3050","TQ01909, TQ01911",Services,TeamQuest Travel Expense,,,Capacity Management,Order Line Only,aAuct000000Fme1CAC,Tech,TeamQuest OEM,,CM-TQO-NRSE-TQTE,Services,,,One Time,,,,Quantity,,,Non-Recurring Services Sales - Services Expense Reimbursements,RC_45002,License,,,Expense Reimbursement,Invoice,Capacity Management,RPA+,TeamQuest OEM,,1TpaZ00000005nhSAA,,,Tech,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-09T14:00:00.000+0000,11Bct0000051QpOEAU,,,,False,False,Allowed,USD,,TeamQuest Services,OrderLineItem,Per Hour  | Services | Hourly,,,,,,,,Services,TeamQuest Services - Services,BU54,Services,,TAYLlxCD00000CWt10,False,False,,True,True,False,TeamQuest,"D0AB0496-162C-E711-80E3-0050569F6BB1, C2AB0496-162C-E711-80E3-0050569F6BB1, C0AB0496-162C-E711-80E3-0050569F6BB1, BEAB0496-162C-E711-80E3-0050569F6BB1","TQ01904, TQ01905, TQ01906, TQ01908",Services,TeamQuest Services,,,Capacity Management,Order Line Only,aAuct000000Fme1CAC,Tech,TeamQuest OEM,,CM-TQO-NRST-TEQS,Services,,,One Time,,,,Quantity,,,Non-Recurring Services Sales - Training,RC_45000,Pre Pay Service,,,As Delivered,Deferred,Capacity Management,RPA+,TeamQuest OEM,,1TpaZ00000005nhSAA,,,Tech,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-09T14:00:00.000+0000,11Bct0000051QpOEAU,,,,False,False,Allowed,USD,,TeamQuest Professional Services,OrderLineItem,Days 1 | Services | On-site Full Day,,,,,,,,Services,TeamQuest Professional Services - Services,BU54,Services,,TAYKlxCD00000CWt10,False,False,,True,True,False,TeamQuest,C4AB0496-162C-E711-80E3-0050569F6BB1,TQ01907,Services,TeamQuest Professional Services,,,Capacity Management,Order Line Only,aAuct000000Fme1CAC,Tech,TeamQuest OEM,,CM-TQO-NRST-TQPS,Services,,,One Time,,,,Quantity,,,Non-Recurring Services Sales - Training,RC_45000,Pre Pay Service,,,As Delivered,Deferred,Capacity Management,RPA+,TeamQuest OEM,,1TpaZ00000005nhSAA,,,Tech,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-09T14:00:00.000+0000,11Bct0000051QpKEAU,,,,False,False,Allowed,USD,,TeamQuest Global Services,OrderLineItem,Services | Analysis Services,,,,,,,,Services,TeamQuest Global Services - Services,BU54,Services,,TAYJlxCD00000CWt10,False,False,,True,True,False,TeamQuest,"92AB0496-162C-E711-80E3-0050569F6BB1, 94AB0496-162C-E711-80E3-0050569F6BB1, 96AB0496-162C-E711-80E3-0050569F6BB1, 98AB0496-162C-E711-80E3-0050569F6BB1, 9AAB0496-162C-E711-80E3-0050569F6BB1","TQ01921, TQ01922, TQ01923, TQ01924, TQ01925",Services,TeamQuest Global Services,,,Capacity Management,Order Line Only,aAuct000000Fme1CAC,Tech,TeamQuest OEM,,CM-TQO-NRSU-TQGS,Services,,,One Time,,,,Quantity,,,Non-Recurring Services Sales - Set Up,RC_45001,Pre Pay Service,,,As Delivered,Deferred,Capacity Management,RPA+,TeamQuest OEM,,1TpaZ00000005nhSAA,,,Tech,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-09T14:00:00.000+0000,11Bct0000051QpKEAU,,,,False,False,Allowed,USD,,TeamQuest Getting Started Services,OrderLineItem,Services | Getting Started Services - Starter Pack,,,,,,,,Services,TeamQuest Getting Started Services - Services,BU54,Services,,TAYIlxCD00000CWt10,False,False,,True,True,False,TeamQuest,"14B2198F-E9B6-EA11-810C-0050569F6BB1, 1AC2E6B0-E9B6-EA11-810C-0050569F6BB1, 6A9C1BCF-E9B6-EA11-810C-0050569F6BB1, C3E811EA-E9B6-EA11-810C-0050569F6BB1","TQ01927, TQ01928, TQ01929, TQ01930",Services,TeamQuest Getting Started Services,,,Capacity Management,Order Line Only,aAuct000000Fme1CAC,Tech,TeamQuest OEM,,CM-TQO-NRSU-TQGSS,Services,,,One Time,,,,Quantity,,,Non-Recurring Services Sales - Set Up,RC_45001,Pre Pay Service,,,As Delivered,Deferred,Capacity Management,RPA+,TeamQuest OEM,,1TpaZ00000005nhSAA,,,Tech,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-10T06:00:00.000+0000,11Bct0000051QpKEAU,,,,False,False,Allowed,USD,,Fortra Security Travel Expense,OrderLineItem,Services | Billed as Incurred,,,,,,,,Services,Fortra Security Travel Expense - Services,BU53,Services,,LAYrK1DD00000CWt10,False,False,,True,True,False,Fortra Security Services,"815850C7-3232-E611-80D8-0050569F6BB1, 5D8BC47C-B9FB-ED11-8849-6045BDF05170","PT01915, PT01999",Services,Fortra Security Travel Expense,,,Cybersecurity,Order Line Only,aAuct000000FmdyCAC,Tech,Cybersecurity Legacy Product,,CS-CLP-NRSE-FSTE,Services,,,One Time,,,,Quantity,,,Non-Recurring Services Sales - Services Expense Reimbursements,RC_45002,License,,,Expense Reimbursement,Invoice,Cybersecurity,Power,Cybersecurity Legacy Product,,1TpaZ00000005nhSAA,,,Tech,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-09T21:00:00.000+0000,,,,,False,False,Allowed,USD,,Powertech Services Expense,OrderLineItem,Services,,,,,,,,Services,Powertech Services Expense - Services,BU53,Services,,TAYSc1DD00000CWt10,False,False,,True,True,False,PowerTech,CA55E7B8-5718-E611-80D6-0050569F6BB1,PT01909,Services,Powertech Services Expense,,,Cybersecurity,Order Line Only,aAuct000000FmdyCAC,Tech,Cybersecurity Legacy Product,,CS-CLP-NRSE-POWERS,Services,,,One Time,,,,Quantity,,,Non-Recurring Services Sales - Services Expense Reimbursements,RC_45002,License,,,Expense Reimbursement,Invoice,Cybersecurity,Power,Cybersecurity Legacy Product,,1TpaZ00000005nhSAA,,,Tech,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
