Allow_Regional_Pricing__c,AvailabilityDate,BasedOnId,BillingPolicyId,CPW_Max__c,CPW_Min__c,CanUseQuantitySchedule,CanUseRevenueSchedule,ConfigureDuringSale,CurrencyIsoCode,CustomDecompositionScope,Custom_Product_Name__c,DecompositionScope,Description,DiscontinuedDate,DisplayUrl,EndOfLifeDate,Excluded_Feature_Codes__c,ExternalDataSourceId,ExternalId,External_ID__c,Family,Final_SKU_Name_License_Type__c,Finance_Business_Unit__c,Fortra_Product_Type__c,FulfillmentQtyCalcMethod,GearsetExternalId__c,Hardware_ID__c,Has_Attribute_Pricing__c,HelpText,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Legacy_Brand_Name__c,Legacy_ProductId__c,Legacy_Product_Number__c,License_Type__c,Name,NumberOfQuantityInstallments,NumberOfRevenueInstallments,Parent_Category_Name__c,Power_Split_Type__c,Practice__c,Primary_Catalog_Name__c,Primary_Category_Name__c,Processor_Min__c,ProductCode,ProductType__c,Product_Descriptions__c,Product_Lifecycle_Stage__c,Product_Selling_Model_Type__c,Project_Template__c,QuantityInstallmentPeriod,QuantityScheduleType,QuantityUnitOfMeasure,RecordTypeId,Required_Feature_Codes__c,Rev_Category_Name__c,Rev_Category__c,Rev_Schedule__c,RevenueInstallmentPeriod,RevenueScheduleType,Revenue_Recognition_Schedule_Template__c,Revenue_Treatment__c,Solution_Category__c,Solution_Group__c,Solution__c,StockKeepingUnit,TaxPolicyId,Type,UnitOfMeasureId,Unit__c,UsageModelType,Workday_Sales_Item_ID__c,c2g__CODAAllowDeleteInUse__c,c2g__CODAExternalId__c,c2g__CODAIncludeInIncomeSchedule__c,c2g__CODAIncomeSchedule__c,c2g__CODAInputTaxCode__c,c2g__CODAPurchaseAnalysisAccount__c,c2g__CODASalesRevenueAccount__c,c2g__CODASalesTaxRule__c,c2g__CODASalesTaxStatus__c,c2g__CODATaxCode__c,c2g__CODAUnitOfWork__c,c2g__Email__c,c2g__PlaceOfSupply__c,c2g__ReverseCharge__c,fferpcore__SalesTaxStatus__c,fferpcore__TaxCode__c,pse__Forecast_Curve__c,pse__IsServicesProduct__c,pse__ServicesCreditValue__c
False,,,,,,False,False,,USD,,,,Technical fulfillment product for Tripwire Log Center for Desktops (includes Advanced Log Collector Agent),,,,,,,,Subscription,,BU58,Subscription,,XAYTtZBF00000CWt10,False,False,,True,True,False,File Integrity Monitoring,,,,Tripwire Log Center for Desktops (includes Advanced Log Collector Agent) (Technical),,,,Order Line Only,,,,,FIM-TLC-RSS-TRAS-TECH,,,,,,,,Tier Based,012ct00000Idwo9AAB,,Recurring Sales - Software Subscriptions,RC_41202,,,,,,File Integrity Monitoring,Defensive Security,Tripwire Log Center,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for Tripwire Log Center for Network Devices (includes Remote Collector),,,,,,,,Subscription,,BU58,Subscription,,PAYgVWBF00000CWt10,False,False,,True,True,False,File Integrity Monitoring,,,,Tripwire Log Center for Network Devices (includes Remote Collector) (Technical),,,,Order Line Only,,,,,FIM-TLC-RSS-TRCS-TECH,,,,,,,,Tier Based,012ct00000Idwo9AAB,,Recurring Sales - Software Subscriptions,RC_41202,,,,,,File Integrity Monitoring,Defensive Security,Tripwire Log Center,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for Tripwire Log Center for Directory Services (includes Advanced Log Collector Agent),,,,,,,,Subscription,,BU58,Subscription,,XAYXtZBF00000CWt10,False,False,,True,True,False,File Integrity Monitoring,,,,Tripwire Log Center for Directory Services (includes Advanced Log Collector Agent) (Technical),,,,Order Line Only,,,,,FIM-TLC-RSS-TRILOC-TECH,,,,,,,,Tier Based,012ct00000Idwo9AAB,,Recurring Sales - Software Subscriptions,RC_41202,,,,,,File Integrity Monitoring,Defensive Security,Tripwire Log Center,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for Tripwire Log Center for File Systems  (includes Advanced Log Collector Agent),,,,,,,,Subscription,,BU58,Subscription,,HAYbtZBF00000CWt10,False,False,,True,True,False,File Integrity Monitoring,,,,Tripwire Log Center for File Systems  (includes Advanced Log Collector Agent) (Technical),,,,Order Line Only,,,,,FIM-TLC-RSS-TRLCEN-TECH,,,,,,,,Tier Based,012ct00000Idwo9AAB,,Recurring Sales - Software Subscriptions,RC_41202,,,,,,File Integrity Monitoring,Defensive Security,Tripwire Log Center,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for Tripwire Log Center for Microsoft Exchange (includes Advanced Log Collector Agent),,,,,,,,Subscription,,BU58,Subscription,,5AYTVWBF00000CWt10,False,False,,True,True,False,File Integrity Monitoring,,,,Tripwire Log Center for Microsoft Exchange (includes Advanced Log Collector Agent) (Technical),,,,Order Line Only,,,,,FIM-TLC-RSS-TRLOCE-TECH,,,,,,,,Tier Based,012ct00000Idwo9AAB,,Recurring Sales - Software Subscriptions,RC_41202,,,,,,File Integrity Monitoring,Defensive Security,Tripwire Log Center,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for FileCatalyst Central Additional Nodes,,,,,,,,Perpetual,,BU56,Perpetual,,LAYcDdBF00000CWt10,False,False,,True,True,False,Linoma,,,,FileCatalyst Central Additional Nodes (Technical),,,,Order Line Only,,,,,GOA-FIL-NRPS-FCCANP-TECH,,,,,,,,Quantity,012ct00000Idwo9AAB,,Non-Recurring Perpetual Sales - Software,RC_41000,,,,,,GoAnywhere,Managed File Transfer,FileCatalyst,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for FileCatalyst Concurrent Connections Additional,,,,,,,,Perpetual,,BU56,Perpetual,,LAYnDdBF00000CWt10,False,False,,True,True,False,Linoma,,,,FileCatalyst Concurrent Connections Additional (Technical),,,,Order Line Only,,,,,GOA-FIL-NRPS-FCCCAP-TECH,,,,,,,,Quantity,012ct00000Idwo9AAB,,Non-Recurring Perpetual Sales - Software,RC_41000,,,,,,GoAnywhere,Managed File Transfer,FileCatalyst,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for FileCatalyst Concurrent Connections,,,,,,,,Perpetual,,BU56,Perpetual,,LAYjDdBF00000CWt10,False,False,,True,True,False,Linoma,,,,FileCatalyst Concurrent Connections (Technical),,,,Order Line Only,,,,,GOA-FIL-NRPS-FCCCP-TECH,,,,,,,,Tier Based,012ct00000Idwo9AAB,,Non-Recurring Perpetual Sales - Software,RC_41000,,,,,,GoAnywhere,Managed File Transfer,FileCatalyst,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for FileCatalyst Central,,,,,,,,Perpetual,,BU56,Perpetual,,1AYYDdBF00000CWt10,False,False,,True,True,False,Linoma,,,,FileCatalyst Central (Technical),,,,Order Line Only,,,,,GOA-FIL-NRPS-FCCP-TECH,,,,,,,,Tier Based,012ct00000Idwo9AAB,,Non-Recurring Perpetual Sales - Software,RC_41000,,,,,,GoAnywhere,Managed File Transfer,FileCatalyst,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for FileCatalyst Development Kit,,,,,,,,Perpetual,,BU56,Perpetual,,LAYrDdBF00000CWt10,False,False,,True,True,False,Linoma,,,,FileCatalyst Development Kit (Technical),,,,Order Line Only,,,,,GOA-FIL-NRPS-FCDKP-TECH,,,,,,,,1 Each,012ct00000Idwo9AAB,,Non-Recurring Perpetual Sales - Software,RC_41000,,,,,,GoAnywhere,Managed File Transfer,FileCatalyst,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
